REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 2,2017,43,2.09091,1.80144,1044,405,,804,215,192,2660,181,147660
HHS Regions,Region 3,2017,43,1.1191,1.32338,711,535,,853,205,150,2454,352,185434
HHS Regions,Region 4,2017,43,1.59472,1.965,973,629,,1239,230,192,3263,386,166056
HHS Regions,Region 5,2017,43,1.23078,1.18805,461,226,,488,104,74,1353,300,113884
HHS Regions,Region 6,2017,43,2.23701,2.35963,972,500,,870,205,146,2693,286,114128
HHS Regions,Region 7,2017,43,0.943455,1.28195,113,53,,134,22,18,340,110,26522
HHS Regions,Region 8,2017,43,0.697744,0.922142,138,92,,177,63,40,510,151,55306
HHS Regions,Region 9,2017,43,1.72695,1.57316,310,272,,548,185,159,1474,214,93697
HHS Regions,Region 10,2017,43,0.706956,1.19291,146,131,,187,58,49,571,149,47866
HHS Regions,Region 1,2017,44,0.948321,0.899972,135,72,,226,30,26,489,142,54335
HHS Regions,Region 2,2017,44,2.41627,1.9045,1110,451,,813,195,144,2713,169,142452
HHS Regions,Region 3,2017,44,1.1806,1.38637,758,625,,827,201,148,2559,358,184583
HHS Regions,Region 4,2017,44,1.78955,2.17988,1012,721,,1372,283,193,3581,383,164275
HHS Regions,Region 5,2017,44,1.22608,1.16856,447,202,,509,114,67,1339,303,114585
HHS Regions,Region 6,2017,44,2.94144,2.91365,1018,583,,1123,244,198,3166,249,108661
HHS Regions,Region 7,2017,44,1.16063,1.42252,132,76,,165,22,25,420,113,29525
HHS Regions,Region 8,2017,44,0.696275,0.770991,154,97,,200,46,32,529,151,68613
HHS Regions,Region 9,2017,44,2.01706,1.89993,273,311,,680,173,181,1618,214,85161
HHS Regions,Region 10,2017,44,0.956682,1.31131,180,151,,219,57,48,655,140,49950
HHS Regions,Region 1,2017,45,1.08227,1.05296,174,109,,261,38,33,615,137,58407
HHS Regions,Region 2,2017,45,2.39732,1.90399,1180,421,,778,191,152,2722,178,142963
HHS Regions,Region 3,2017,45,1.30465,1.49433,950,610,,865,237,168,2830,358,189382
HHS Regions,Region 4,2017,45,2.12802,2.56589,1411,815,,1647,301,203,4377,396,170584
HHS Regions,Region 5,2017,45,1.32897,1.34042,507,249,,597,123,80,1556,310,116083
HHS Regions,Region 6,2017,45,3.31967,3.28045,1166,800,,1309,310,193,3778,282,115167
HHS Regions,Region 7,2017,45,1.25143,1.48451,112,64,,150,25,19,370,113,24924
HHS Regions,Region 8,2017,45,0.772473,0.842063,159,106,,220,59,38,582,146,69116
HHS Regions,Region 9,2017,45,1.92015,1.76795,280,255,,624,163,174,1496,213,84618
HHS Regions,Region 10,2017,45,1.00098,1.46684,187,180,,220,75,69,731,155,49835
HHS Regions,Region 1,2017,46,1.19375,1.14176,155,115,,290,58,48,666,138,58331
HHS Regions,Region 2,2017,46,2.828,2.35052,1495,539,,966,260,194,3454,183,146946
HHS Regions,Region 3,2017,46,1.581,1.68959,1027,707,,1046,270,186,3236,358,191526
HHS Regions,Region 4,2017,46,2.22418,2.83018,1584,999,,1775,348,239,4945,394,174724
HHS Regions,Region 5,2017,46,1.21085,1.26252,432,231,,554,112,87,1416,301,112157
HHS Regions,Region 6,2017,46,3.92209,3.51841,1336,949,,1603,390,280,4558,285,129547
HHS Regions,Region 7,2017,46,1.40765,1.74539,172,97,,180,31,17,497,113,28475
HHS Regions,Region 8,2017,46,0.842594,1.02627,196,132,,247,57,50,682,149,66454
HHS Regions,Region 9,2017,46,2.02108,1.8786,305,307,,657,196,223,1688,222,89854
HHS Regions,Region 10,2017,46,0.929811,1.33272,178,167,,259,83,63,750,153,56276
HHS Regions,Region 1,2017,47,1.59658,1.48889,201,96,,221,52,33,603,140,40500
HHS Regions,Region 2,2017,47,2.83733,2.32193,1355,464,,812,218,179,3028,181,130409
HHS Regions,Region 3,2017,47,1.64013,1.83265,1021,648,,912,261,229,3071,355,167572
HHS Regions,Region 4,2017,47,2.54255,3.28494,1592,918,,1379,388,307,4584,385,139546
HHS Regions,Region 5,2017,47,1.54292,1.58138,492,212,,413,115,108,1340,301,84736
HHS Regions,Region 6,2017,47,4.11395,4.16976,1414,897,,1142,369,283,4105,282,98447
HHS Regions,Region 7,2017,47,1.72814,2.25138,186,81,,156,32,34,489,114,21720
HHS Regions,Region 8,2017,47,0.935706,0.985543,166,105,,160,57,41,529,151,53676
HHS Regions,Region 9,2017,47,2.17777,1.96093,305,251,,443,137,157,1293,211,65938
HHS Regions,Region 10,2017,47,1.25088,1.69106,213,172,,237,78,74,774,151,45770
HHS Regions,Region 1,2017,48,1.53606,1.32989,206,125,,301,70,56,758,139,56997
HHS Regions,Region 2,2017,48,2.97265,2.06287,1276,496,,875,257,202,3106,181,150567
HHS Regions,Region 3,2017,48,1.60673,1.88811,1191,894,,1118,334,229,3766,363,199459
HHS Regions,Region 4,2017,48,2.23681,2.93354,1515,1200,,1634,483,317,5149,385,175522
HHS Regions,Region 5,2017,48,1.59701,1.61978,552,363,,684,123,175,1897,298,117115
HHS Regions,Region 6,2017,48,4.61822,4.24095,1414,1344,,1515,530,402,5205,288,122732
HHS Regions,Region 7,2017,48,1.47504,1.7391,148,85,,179,26,43,481,111,27658
HHS Regions,Region 8,2017,48,0.949127,1.04322,160,143,,268,70,65,706,148,67675
HHS Regions,Region 9,2017,48,2.15808,2.09336,346,394,,653,225,270,1888,219,90190
HHS Regions,Region 10,2017,48,1.20543,1.6102,200,191,,247,88,70,796,147,49435
HHS Regions,Region 1,2017,49,1.6577,1.51599,265,96,,421,47,48,877,139,57850
HHS Regions,Region 2,2017,49,3.15216,2.62988,1634,589,,1098,286,223,3830,180,145634
HHS Regions,Region 3,2017,49,1.6323,1.8981,997,842,,1051,355,283,3528,357,185870
HHS Regions,Region 4,2017,49,2.5325,3.24655,1378,1070,,1850,459,318,5075,388,156320
HHS Regions,Region 5,2017,49,1.92288,1.88726,617,417,,786,208,168,2196,303,116359
HHS Regions,Region 6,2017,49,5.14474,4.59628,1374,1204,,1768,522,361,5229,285,113766
HHS Regions,Region 7,2017,49,2.05556,2.15962,167,118,,252,41,33,611,116,28292
HHS Regions,Region 8,2017,49,1.13022,1.10996,209,138,,281,86,58,772,146,69552
HHS Regions,Region 9,2017,49,2.596,2.42322,397,372,,695,235,302,2001,214,82576
HHS Regions,Region 10,2017,49,1.11517,1.90156,191,200,,286,96,63,836,144,43964
HHS Regions,Region 1,2017,50,1.82267,1.65346,289,122,,386,76,39,912,138,55157
HHS Regions,Region 2,2017,50,3.59161,2.83291,1515,620,,1263,303,240,3941,177,139115
HHS Regions,Region 3,2017,50,1.83916,2.14038,1106,972,,1154,365,299,3896,352,182024
HHS Regions,Region 4,2017,50,3.10558,4.09317,1679,1435,,2412,577,392,6495,386,158679
HHS Regions,Region 5,2017,50,2.18404,2.35642,783,427,,954,226,203,2593,305,110040
HHS Regions,Region 6,2017,50,7.99198,6.58633,1757,1906,,2961,789,496,7909,280,120082
HHS Regions,Region 7,2017,50,2.75354,3.0159,204,157,,327,56,68,812,114,26924
HHS Regions,Region 8,2017,50,1.32612,1.38448,210,177,,325,59,66,837,147,60456
HHS Regions,Region 9,2017,50,3.56156,3.49061,499,603,,1105,379,431,3017,217,86432
HHS Regions,Region 10,2017,50,1.30968,2.40226,243,252,,372,125,98,1090,146,45374
HHS Regions,Region 1,2017,51,2.24475,1.93757,312,139,,373,79,56,959,138,49495
HHS Regions,Region 2,2017,51,4.3243,3.27795,1748,750,,1480,362,263,4603,171,140423
HHS Regions,Region 3,2017,51,2.29733,2.54086,1202,1203,,1321,520,430,4676,354,184032
HHS Regions,Region 4,2017,51,4.62754,6.40332,2375,2423,,3327,1039,841,10005,375,156247
HHS Regions,Region 5,2017,51,3.19187,3.32804,949,644,,1083,338,384,3398,285,102102
HHS Regions,Region 6,2017,51,11.6106,9.40005,2339,3053,,4042,1338,813,11585,271,123244
HHS Regions,Region 7,2017,51,4.32304,4.44507,281,273,,362,93,94,1103,110,24814
HHS Regions,Region 8,2017,51,1.93549,2.0561,247,247,,415,130,114,1153,146,56077
HHS Regions,Region 9,2017,51,4.73611,4.49038,630,722,,1214,486,580,3632,211,80884
HHS Regions,Region 10,2017,51,2.15611,3.5748,364,402,,549,195,158,1668,150,46660
HHS Regions,Region 1,2017,52,2.82739,2.76879,290,191,,330,99,100,1010,139,36478
HHS Regions,Region 2,2017,52,4.52747,3.88765,1823,973,,1363,429,356,4944,158,127172
HHS Regions,Region 3,2017,52,3.53525,3.64237,1521,1707,,1387,805,730,6150,328,168846
HHS Regions,Region 4,2017,52,5.3309,7.37201,2479,2712,,2535,1351,958,10035,381,136123
HHS Regions,Region 5,2017,52,4.75027,5.04884,972,839,,1045,514,620,3990,279,79028
HHS Regions,Region 6,2017,52,10.4245,9.91457,2480,2884,,2624,1237,895,10120,233,102072
HHS Regions,Region 7,2017,52,7.25157,6.33974,361,243,,304,132,108,1148,112,18108
HHS Regions,Region 8,2017,52,2.42647,2.75077,275,279,,330,176,117,1177,150,42788
HHS Regions,Region 9,2017,52,6.93868,6.31455,705,997,,1125,646,886,4359,212,69031
HHS Regions,Region 10,2017,52,4.34775,4.77257,429,682,,497,365,349,2322,140,48653
HHS Regions,Region 1,2018,1,2.94107,2.72318,265,205,,317,118,112,1017,138,37346
HHS Regions,Region 2,2018,1,4.93792,3.99883,1539,1114,,1315,554,415,4937,173,123461
HHS Regions,Region 3,2018,1,3.43385,3.61412,1137,1999,,1469,1010,873,6488,357,179518
HHS Regions,Region 4,2018,1,5.35557,7.37825,2219,3373,,2862,1599,1110,11163,386,151296
HHS Regions,Region 5,2018,1,4.41441,4.52292,943,985,,969,591,727,4215,295,93192
HHS Regions,Region 6,2018,1,11.0059,9.49665,1738,3400,,2480,1538,968,10124,278,106606
HHS Regions,Region 7,2018,1,7.62744,6.46121,308,308,,371,155,118,1260,108,19501
HHS Regions,Region 8,2018,1,2.55038,2.79374,302,318,,365,213,163,1361,148,48716
HHS Regions,Region 9,2018,1,6.53023,5.96884,587,983,,1044,664,1025,4303,213,72091
HHS Regions,Region 10,2018,1,4.78676,4.75032,372,698,,525,429,377,2401,147,50544
HHS Regions,Region 1,2018,2,2.86319,2.31838,259,257,,447,135,122,1220,140,52623
HHS Regions,Region 2,2018,2,5.89362,4.24025,1676,1373,,1990,693,568,6300,174,148576
HHS Regions,Region 3,2018,2,3.70733,4.03803,1102,2469,,1945,1182,934,7632,357,189003
HHS Regions,Region 4,2018,2,6.64069,8.63751,2459,4321,,4992,1985,1345,15102,390,174842
HHS Regions,Region 5,2018,2,4.71296,4.57116,1065,1113,,1585,656,642,5061,301,110716
HHS Regions,Region 6,2018,2,11.5045,9.72687,1906,3636,,3630,1734,1049,11955,284,122907
HHS Regions,Region 7,2018,2,6.72613,5.64174,287,267,,477,137,123,1291,109,22883
HHS Regions,Region 8,2018,2,2.61857,2.72158,345,377,,497,237,173,1629,136,59855
HHS Regions,Region 9,2018,2,4.75624,4.47979,558,841,,1106,619,873,3997,212,89223
HHS Regions,Region 10,2018,2,4.15034,4.52866,396,726,,688,394,370,2574,154,56838
HHS Regions,Region 1,2018,3,3.72799,3.30443,357,321,,717,182,138,1715,139,51900
HHS Regions,Region 2,2018,3,6.831,5.57508,2064,1767,,2964,928,638,8361,177,149971
HHS Regions,Region 3,2018,3,4.75691,5.12435,1385,2904,,2671,1337,911,9208,358,179691
HHS Regions,Region 4,2018,3,8.35345,10.5718,3228,4773,,6226,1943,1353,17523,395,165752
HHS Regions,Region 5,2018,3,5.06626,4.96778,1179,1055,,2085,571,499,5389,307,108479
HHS Regions,Region 6,2018,3,11.716,9.92853,2002,3145,,4023,1394,827,11391,286,114730
HHS Regions,Region 7,2018,3,8.3421,6.9476,373,344,,728,155,113,1713,110,24656
HHS Regions,Region 8,2018,3,2.76747,3.06153,392,360,,628,222,157,1759,142,57455
HHS Regions,Region 9,2018,3,4.16472,4.03584,581,694,,1150,498,622,3545,221,87838
HHS Regions,Region 10,2018,3,3.86796,4.59223,436,649,,705,339,303,2432,151,52959
HHS Regions,Region 1,2018,4,4.26588,4.0082,409,426,,1157,240,154,2386,137,59528
HHS Regions,Region 2,2018,4,8.44625,7.04066,2774,2372,,4472,1214,821,11653,178,165510
HHS Regions,Region 3,2018,4,5.97045,6.64289,1884,4090,,4492,1857,1254,13577,358,204384
HHS Regions,Region 4,2018,4,9.23174,10.9187,3215,5005,,8846,2241,1491,20798,404,190481
HHS Regions,Region 5,2018,4,5.29509,5.04925,1252,1103,,2663,634,520,6172,307,122236
HHS Regions,Region 6,2018,4,12.7142,10.0706,1966,3250,,5143,1484,789,12632,282,125434
HHS Regions,Region 7,2018,4,8.86645,8.1628,424,385,,1026,179,128,2142,107,26241
HHS Regions,Region 8,2018,4,2.82465,3.21036,432,392,,707,242,158,1931,140,60149
HHS Regions,Region 9,2018,4,4.03733,3.85214,605,692,,1342,478,494,3611,219,93740
HHS Regions,Region 10,2018,4,3.99004,4.48026,447,602,,777,342,256,2424,156,54104
HHS Regions,Region 1,2018,5,5.1923,5.17253,471,556,,1610,266,200,3103,137,59990
HHS Regions,Region 2,2018,5,9.84631,8.30616,3127,2656,,5793,1310,894,13780,177,165901
HHS Regions,Region 3,2018,5,7.06078,8.16107,2378,4682,,6156,1975,1229,16420,355,201199
HHS Regions,Region 4,2018,5,9.25521,11.2126,3143,4962,,9794,2146,1311,21356,402,190465
HHS Regions,Region 5,2018,5,5.65908,5.54549,1300,1059,,3127,637,485,6608,301,119160
HHS Regions,Region 6,2018,5,12.5047,10.5131,2295,3093,,6131,1337,760,13616,283,129514
HHS Regions,Region 7,2018,5,8.80663,8.55831,501,474,,1258,262,152,2647,109,30929
HHS Regions,Region 8,2018,5,3.24954,3.69274,512,454,,929,243,170,2308,146,62501
HHS Regions,Region 9,2018,5,4.29233,4.09006,634,612,,1589,443,495,3773,210,92248
HHS Regions,Region 10,2018,5,3.68608,4.46484,483,538,,813,296,244,2374,155,53171
HHS Regions,Region 1,2018,6,5.78721,5.63623,555,549,,1914,267,212,3497,141,62045
HHS Regions,Region 2,2018,6,10.3506,9.11219,3368,3007,,6807,1395,918,15495,178,170047
HHS Regions,Region 3,2018,6,7.51172,8.63982,2285,5196,,6914,2138,1351,17884,363,206995
HHS Regions,Region 4,2018,6,9.00779,11.0607,3453,4751,,10485,1918,1209,21816,400,197238
HHS Regions,Region 5,2018,6,5.8077,5.57198,1273,1086,,2815,596,488,6258,299,112312
HHS Regions,Region 6,2018,6,11.3711,9.3005,2131,2837,,5194,1232,720,12114,284,130251
HHS Regions,Region 7,2018,6,8.74478,9.08866,459,504,,1232,213,164,2572,109,28299
HHS Regions,Region 8,2018,6,3.18167,3.37316,552,454,,996,274,180,2456,152,72810
HHS Regions,Region 9,2018,6,3.98843,3.92584,654,688,,1606,369,429,3746,216,95419
HHS Regions,Region 10,2018,6,2.95199,3.61398,462,455,,643,224,203,1987,157,54981
HHS Regions,Region 1,2018,7,5.26147,5.15032,530,487,,1775,279,189,3260,138,63297
HHS Regions,Region 2,2018,7,10.1735,9.11255,3226,2751,,6101,1298,862,14238,145,156246
HHS Regions,Region 3,2018,7,7.34917,8.54747,2231,5064,,6742,2170,1389,17596,354,205862
HHS Regions,Region 4,2018,7,6.98828,8.26659,2556,3353,,7056,1523,953,15441,391,186788
HHS Regions,Region 5,2018,7,4.6786,4.57347,1051,973,,2342,558,427,5351,295,117001
HHS Regions,Region 6,2018,7,9.56616,7.82934,1737,2360,,3866,1080,617,9660,279,123382
HHS Regions,Region 7,2018,7,7.79645,8.26291,424,487,,1143,221,150,2425,107,29348
HHS Regions,Region 8,2018,7,3.02627,3.23721,652,660,,1201,313,204,3030,153,93599
HHS Regions,Region 9,2018,7,3.89016,3.80723,542,650,,1321,421,459,3393,209,89120
HHS Regions,Region 10,2018,7,2.70056,3.35321,416,418,,577,216,189,1816,156,54157
HHS Regions,Region 1,2018,8,4.38854,4.36349,375,505,,1114,202,190,2386,140,54681
HHS Regions,Region 2,2018,8,7.36484,6.49904,2568,2001,,3467,987,698,9721,179,149576
HHS Regions,Region 3,2018,8,5.53973,6.2763,1619,3421,,4451,1445,965,11901,349,189618
HHS Regions,Region 4,2018,8,4.76595,5.56864,1733,2212,,3763,935,624,9267,388,166414
HHS Regions,Region 5,2018,8,3.79907,3.75335,889,750,,1751,440,362,4192,298,111687
HHS Regions,Region 6,2018,8,7.26319,5.74829,1234,1696,,2596,735,476,6737,288,117200
HHS Regions,Region 7,2018,8,5.61847,6.20359,329,349,,730,186,127,1721,106,27742
HHS Regions,Region 8,2018,8,2.93967,3.16784,528,538,,983,285,164,2498,153,78855
HHS Regions,Region 9,2018,8,3.6801,3.56723,482,570,,1110,374,408,2944,215,82529
HHS Regions,Region 10,2018,8,2.7734,3.32838,397,395,,485,216,165,1658,156,49814
HHS Regions,Region 1,2018,9,3.41332,3.06406,281,313,,799,154,142,1689,136,55123
HHS Regions,Region 2,2018,9,4.95815,4.02948,1407,1228,,1756,561,396,5348,142,132722
HHS Regions,Region 3,2018,9,3.78776,4.14463,1152,2246,,2703,943,558,7602,358,183418
HHS Regions,Region 4,2018,9,3.08799,3.56808,1157,1278,,2157,580,347,5519,381,154677
HHS Regions,Region 5,2018,9,2.97213,2.78923,713,520,,1234,351,300,3118,289,111787
HHS Regions,Region 6,2018,9,5.35006,4.38641,1079,1157,,1881,547,303,4967,278,113236
HHS Regions,Region 7,2018,9,4.01667,4.79997,240,272,,515,133,107,1267,103,26396
HHS Regions,Region 8,2018,9,2.16326,2.04894,405,490,,689,241,161,1986,151,96928
HHS Regions,Region 9,2018,9,3.65283,3.439,457,593,,1167,395,404,3016,217,87700
HHS Regions,Region 10,2018,9,2.38842,3.03101,317,388,,491,199,157,1552,153,51204
HHS Regions,Region 1,2018,10,2.55242,2.40386,218,227,,553,117,97,1212,136,50419
HHS Regions,Region 2,2018,10,4.64753,3.24322,1236,906,,1454,440,332,4368,174,134681
HHS Regions,Region 3,2018,10,2.89521,3.24699,972,1621,,2014,655,395,5657,348,174223
HHS Regions,Region 4,2018,10,2.71229,3.14087,1098,1033,,1846,446,285,4708,377,149895
HHS Regions,Region 5,2018,10,2.63215,2.39822,568,489,,1049,300,246,2652,293,110582
HHS Regions,Region 6,2018,10,4.27347,3.54419,944,875,,1339,381,244,3783,273,106738
HHS Regions,Region 7,2018,10,3.59271,4.55589,223,225,,454,103,86,1091,105,23947
HHS Regions,Region 8,2018,10,1.89284,2.00431,332,335,,629,211,130,1637,150,81674
HHS Regions,Region 9,2018,10,3.43116,3.10509,386,474,,1107,347,371,2685,208,86471
HHS Regions,Region 10,2018,10,1.95807,2.63795,391,300,,405,138,106,1340,150,50797
HHS Regions,Region 1,2018,11,2.42643,2.24614,200,173,,406,116,86,981,132,43675
HHS Regions,Region 2,2018,11,3.6831,2.79178,1042,761,,1368,401,283,3855,177,138084
HHS Regions,Region 3,2018,11,2.66651,3.09797,838,1553,,2094,627,357,5469,346,176535
HHS Regions,Region 4,2018,11,2.40824,2.79692,984,995,,1532,438,269,4218,381,150809
HHS Regions,Region 5,2018,11,2.30105,2.16226,503,458,,809,258,210,2238,293,103503
HHS Regions,Region 6,2018,11,3.35348,2.95965,853,778,,936,297,199,3063,269,103492
HHS Regions,Region 7,2018,11,2.49904,3.62285,167,152,,282,91,78,770,106,21254
HHS Regions,Region 8,2018,11,1.60878,1.77348,310,282,,516,151,113,1372,148,77362
HHS Regions,Region 9,2018,11,3.24312,2.9842,387,414,,1080,278,373,2532,202,84847
HHS Regions,Region 10,2018,11,2.47377,2.85618,304,362,,445,165,164,1440,147,50417
HHS Regions,Region 1,2018,12,2.08403,1.86109,158,163,,510,97,79,1007,134,54108
HHS Regions,Region 2,2018,12,3.20794,2.63324,1011,771,,1213,306,254,3555,175,135005
HHS Regions,Region 3,2018,12,2.52981,2.95197,834,1481,,1834,602,371,5122,344,173511
HHS Regions,Region 4,2018,12,2.04185,2.42113,862,842,,1383,360,250,3697,373,152697
HHS Regions,Region 5,2018,12,2.22336,2.13583,567,417,,822,242,199,2247,289,105205
HHS Regions,Region 6,2018,12,2.83427,2.635,773,631,,898,300,193,2795,270,106072
HHS Regions,Region 7,2018,12,2.73415,3.05193,143,118,,233,53,73,620,99,20315
HHS Regions,Region 8,2018,12,1.2732,1.36816,234,215,,423,135,81,1088,150,79523
HHS Regions,Region 9,2018,12,2.96904,2.74783,351,441,,917,292,321,2322,199,84503
HHS Regions,Region 10,2018,12,2.21496,2.71268,290,329,,407,176,150,1352,147,49840
HHS Regions,Region 1,2018,13,2.19066,1.89217,187,170,,475,128,95,1055,139,55756
HHS Regions,Region 2,2018,13,3.21338,2.5123,939,699,,1189,349,245,3421,169,136170
HHS Regions,Region 3,2018,13,2.47931,2.72636,693,1202,,1409,481,298,4083,341,149760
HHS Regions,Region 4,2018,13,2.05329,2.34861,845,786,,1236,354,233,3454,367,147066
HHS Regions,Region 5,2018,13,2.16796,2.13801,449,368,,674,246,170,1907,280,89195
HHS Regions,Region 6,2018,13,2.95336,2.38597,707,544,,790,231,164,2436,271,102097
HHS Regions,Region 7,2018,13,1.97997,2.62269,125,113,,212,48,53,551,101,21009
HHS Regions,Region 8,2018,13,1.08504,1.36143,177,142,,242,82,65,708,128,52004
HHS Regions,Region 9,2018,13,2.74521,2.53941,320,414,,672,242,285,1933,204,76120
HHS Regions,Region 10,2018,13,1.87625,2.46337,279,282,,315,134,135,1145,144,46481
HHS Regions,Region 1,2018,14,2.03106,1.84353,210,161,,463,85,90,1009,131,54732
