date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179151,278.3333333,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180804,607.6666667,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176714,130.6666667,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42165.2453,39804.7303,44488.4419,42139.1302,51769.4547,49140.6003,67879.0374,64806.0614,38468.9798,36453.1145,44189.1251,41862.6771,53451.9562,50855.3245,71121.7692,67897.3771,60505.1244,57648.7492,49454.6816,46833.6702,53111.3538,50456.9338,51337.0994,48705.8883,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176017,55,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48913.6325,46734.0673,51058.869,48657.405,59124.8733,56232.568,76394.5278,72925.5311,44627.891,42749.5565,50621.6087,48260.4042,61067.4881,58255.843,79752.2439,76056.8816,68939.2188,66054.5056,56833.5906,54392.9954,60942.5379,58376.6185,57995.9043,55138.7378,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175004,93,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49761.5784,48595.0534,51482.4248,50154.7441,58905.8833,57288.159,75867.107,74034.8453,45378.9566,44307.4932,50934.4324,49649.9375,60978.5721,59447.5684,79649.1852,77757.8443,68849.8122,67484.3537,57823.456,56585.1408,61163.182,59855.5145,58058.717,56457.7076,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176748.3333,392.3333333,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53356.2531,51095.5541,56187.3212,53892.7962,65298.8618,62700.0804,86549.4846,84150.6146,48982.3378,46883.8125,55790.8597,53560.0229,67511.2065,65065.2817,90014.9319,87484.5406,77297.4392,75162.4921,62712.28,60261.3455,67293.6431,64827.3282,64764.0516,62286.3642,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174968,281,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54036.5936,50690.0893,56644.418,53729.5341,65953.1347,62939.9187,89122.6873,86851.8752,48837.3267,45869.446,56234.1212,53363.1785,68449.142,65568.5798,93674.0303,91242.0124,79571.072,77035.7854,63801.06,60155.4854,68379.8483,64913.6594,66067.4729,63210.3883,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175258,508,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58349.3073,54985.6522,59980.2669,57258.0009,68174.5451,65461.1244,87572.3574,85133.0407,53231.1963,50252.7098,59269.5052,56578.1078,70553.4166,67896.0301,91237.4443,88536.9986,79538.9479,77045.8481,66901.0884,63335.6648,71073.6531,67737.9668,67329.3231,64714.7199,0,0,0,0,0,0,0,5.505270381,,11,0,6514,0,0,5,0,0,176500,1649,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57866.1277,53942.8785,58854.9477,55642.6026,66654.1132,63500.1472,84765.9068,81719.1007,52589.5457,49063.5884,58304.582,55168.806,69082.8235,65965.6503,87874.6327,84466.8383,76942.8631,73892.6189,65386.6138,61196.3635,69569.2642,65718.1327,65797.2612,62702.1331,0,0,0,0,0,0,0,5.068340395,0.1,556,1362,6482,0,0,22,0,2,177543,3203.333333,17,16,0,0,0,3622,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,,42766.5493,38533.297,39008.9314,34735.1114,40172.5496,36282.5493,45801.3542,41579.1782,57845.125,53283.9483,35724.6107,31880.2301,40027.0435,36179.4495,47407.1012,43153.4542,59133.9321,54098.5993,51395.0976,47180.7206,43778.6926,39170.1714,47310.0681,42720.0941,45028.6801,40903.6779,0,0,0,0,0,0,0,5.10483724,0.7,3805,6725,38559,0,0,37,0,21,174555.6667,2111,58,41,0,0,0,3626,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,,28802.1464,25742.9452,27651.1451,24474.9993,28650.5981,25905.3843,31410.8105,28538.6253,33625.145,30569.2786,27228.9999,24318.0644,28999.3597,26249.8134,32029.1939,29093.238,32205.7532,28951.9932,30942.267,27936.4283,29504.4374,26055.4999,32194.1477,28853.7435,29364.4509,26651.6417,0,0,0,0,0,0,0,4.891688871,3,26097,83332,238255,0,0,271,0,1994,175375.6667,4394.666667,475,417,0,0,0,3623,5.9
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,,18950.1368,16558.7482,18656.2133,16148.5797,19200.8648,17009.6182,20719.6337,18447.803,20510.6757,18208.163,18991.1645,16622.2975,19658.2696,17419.464,20877.6664,18546.8087,19015.0852,16750.4816,18916.4223,16604.3208,19082.9947,16394.0463,21307.2833,18636.8311,19114.6919,17004.5532,0,0,0,0,0,0,0,2.880773413,7.7,100569,321223,590023,1108,5265,1997,3138,14252,183105.3333,13402,2920,2445,0,0,0,3642,6.7
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,,17988.7555,15381.7373,17952.3411,15277.35,18279.8917,15975.6191,19498.3324,17167.1355,19011.1666,16756.4581,18273.5197,15797.7078,18706.7259,16364.0454,19678.2317,17269.4921,17618.8149,15361.5423,17782.3731,15408.8241,18437.671,15561.9599,20132.0332,17344.2899,17963.7233,15825.4993,0,0,0,0,0,0,0,1.546892241,9.5,185085,537039,921967,3804,27908,6944,9574,30495.5,201329.3333,33246.33333,11151,8231,0,0,0,3640,6.8
