date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938041744,0.820476798,,0,0,0,0,0,0,0,0,716982,9628,0,0,0,0,0,3432,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948978315,0.852281799,,0,0,0,0,0,0,0,0,721883,9350,0,0,0,0,0,3429,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883609225,0.831706867,,0,0,0,0,0,0,0,0,704802,1456,0,0,0,0,0,3430,1.9
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,0.838986763,0.837421511,,0,0,0,0,0,0,0,0,699263,893,0,0,0,0,0,3453,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,0.849172325,0.928753256,,0,0,0,0,0,0,0,0,691337,990,0,0,0,0,0,3466,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,0.851300185,0.946695541,,1,0,1,0,0,0,0,0,697883,2519,0,0,0,0,0,3457,2.3
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,0.855383797,0.885863542,,0,0,0,0,0,0,0,0,690439,2310,0,0,0,0,0,3477,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,0.824983572,0.831398446,,0,0,0,0,0,0,0,0,692591,3088,0,0,0,0,0,3478,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,0.818834684,0.802153045,,22,17,39,0,0,5,0,0,697505,4822,1,1,0,0,0,3490,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068948978,0.826923679,0.82338245,0.1,1281,2725,4006,0,0,22,0,0,700204,7719,17,16,0,0,0,3502,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,42766.5493,38533.297,39680.849,35099.3339,40981.7743,36810.6288,46862.0824,42356.6412,59274.1306,54469.1269,36388.0213,32267.28,40917.8924,36797.2445,48550.5352,44012.8148,60622.9677,55274.6516,51189.5279,46851.4266,42961.2994,38236.9056,47762.1929,42910.9938,46268.5847,41844.4673,5.109318654,0.810949088,0.792577972,0.7,5556,23738,29294,0,0,37,0,0,687973,3685,58,41,0,0,0,3506,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,28802.1464,25742.9452,27900.346,24437.1387,29051.8411,26064.7574,31958.0194,28853.9531,34213.6159,30970.4982,27558.6042,24382.647,29460.4604,26471.6825,32593.2533,29406.6999,32713.1518,29251.4305,30649.8574,27546.608,28701.7879,25121.5379,32237.5127,28664.4671,29919.184,26973.5326,4.897412338,0.806536909,0.679076803,3,25522,150386,175908,0,0,261,0,1892,693451,9454,453,395,0,0,0,3503,6
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,18950.1368,16558.7482,18788.9965,15984.8744,19455.2604,16996.7058,21064.3317,18533.7201,20849.2272,18337.7681,19211.831,16541.2858,19959.9344,17445.9644,21224.1568,18625.7318,19259.8847,16790.5443,18706.4044,16262.5901,18426.7162,15590.7494,21306.9453,18388.1309,19445.8697,17083.5545,2.87369542,0.835247364,0.555085627,7.7,100408,466400,566808,1139,5265,1916,5804,12230,721863,40927,2899,2446,0,0,0,3516,6.9
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,17988.7555,15381.7373,18090.0483,15023.8402,18525.5421,15874.6144,19832.0669,17181.4995,19339.0679,16856.8068,18500.265,15608.2087,19004.622,16301.6737,20019.8065,17283.343,17840.4326,15373.6112,17554.3662,15021.2204,17875.9845,14769.7516,20149.0005,17043.0805,18277.0216,15831.3056,1.54433609,0.943752542,0.53067314,9.4,184835,722093,906928,3793,27571,6784,53625,26935,776356,102749,10849,7950,0,0,0,3520,6.9
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,17456.4964,14593.6271,17255.5851,13864.7375,17946.3831,14999.5927,19397.305,16499.8827,19226.2503,16493.0957,17841.3311,14626.4805,18448.1348,15446.964,19595.117,16575.3195,17605.3646,14905.6229,16918.3159,14175.0747,16949.0698,13587.2261,19380.8779,15978.6313,17945.4372,15224.5727,0.917168179,0.978564947,0.481589918,9.1,214404,823116,1037520,29529,70659,12442,155995,25497,814195,146684,24366,13517,0.148461982,0.373985197,0.152641875,3510,6.1
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,16522.5903,13318.6501,16782.3485,13009.4439,17360.3746,13953.9111,18552.1028,15166.2842,17930.4373,14831.1189,17411.4917,13745.3618,17877.4234,14362.2185,18610.9965,15137.7979,16441.7279,13426.7653,16177.1936,13153.1676,16226.9618,12585.467,18601.6561,14836.4332,17216.4548,14011.6102,0.568444857,0.942375692,0.450503582,9.9,199460,832250,1031710,41926,100809,14021,317380,25024,784332,124764,39775,15409,0.057034097,2.490342381,0.059203768,3515,5
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,20754.789,16469.9714,20657.9191,15309.1479,21607.2196,16770.8668,23177.3683,18340.7249,22566.4154,18122.3298,21486.2316,16275.7594,22201.0355,17249.8067,23293.9243,18344.8364,20639.64,16327.9508,19883.9266,15547.5625,19735.7805,14632.911,23005.9236,17638.9772,21579.621,17008.2477,0.475053016,0.88536158,0.468096865,9.5,209141,1277107,1486248,38075,105069,13309,613274,18506,752564,102882,53755,13980,0.051237198,2.486751767,0.055400442,3504,4.3
5/2/20,202018,X,US,-245,-70,12,-312,-298,107,516.84,23941.2249,18715.7621,23935.7823,17144.3984,24830.6907,18664.6629,26475.3373,20338.9363,25790.2976,20147.0631,24832.0399,18176.0342,25518.6488,19198.0858,26644.0324,20361.6112,23639.7583,18161.2211,22713.3311,17236.4602,22749.6672,16308.6633,26272.3739,19577.8226,24795.9301,18940.1203,0.376868291,0.826861095,0.50958614,9.1,192381,1438163,1630544,33808,71683,12544,1017337,24828,701840,68818,66369,12614,0.05513207,0.865922766,0.06089675,3511,3.7
5/9/20,202019,X,US,-211,-25,66,-290,-277,102,583.14,30838.6687,24700.5151,30265.0085,21647.0846,31818.7178,24051.5986,34430.3944,26714.0776,34476.3347,27366.4999,31441.6265,23012.0965,32720.4398,24758.2604,34701.9621,26793.3454,31631.1438,24629.2919,29768.1045,22899.9439,28953.0855,20840.0567,33630.2386,25269.2813,32302.875,24870.9445,0.323814783,0.737240667,0.504194674,7.9,175582,1707774,1883356,39589,72799,12538,1350209,19880,680941,57545,78795,12426,0.038580363,0.843409852,0.043659306,3509,3.1
5/16/20,202020,X,US,-202,-36,101,-278,-263,97,470.21,31269.7136,25265.2053,30757.7332,21664.8396,32246.7663,24079.4374,34861.0395,26807.0838,35160.2827,27789.052,31711.999,22866.8428,33044.2581,24711.0988,35191.106,26916.2794,32573.6153,25216.9653,30497.4083,23290.8389,29312.5116,20777.4182,34275.2648,25504.435,32775.4453,24979.4513,0.183616215,0.64639985,0.49916623,7.3,159174,2206953,2366127,42468,76860,9696,1695557,11978,656309,43008,88754,9959,0.039937952,0.496582905,0.046349102,3511,2.7
5/23/20,202021,X,US,-175,-26,162,-263,-250,90,729.13,37270.5115,30227.798,36319.6702,25077.959,38366.7536,28159.721,41753.2979,31634.0442,43313.0381,34025.5886,37288.6646,26369.8525,39178.3843,28798.3252,42335.6358,31911.8326,40395.2523,30972.2045,37167.034,28087.801,34943.1887,24293.1191,40869.8482,30011.0322,39467.2097,29638.885,0.281720695,0.519979973,0.448011865,6.8,155782,2608193,2763975,34871,66787,8164,2149031,15939,606768,23434,97086,8332,0.045607509,0,0.052901817,3528,2.3
5/30/20,202022,X,US,-164,-25,280,-254,-260,87,765.8,36973.3834,30044.9082,36008.8899,24428.4843,37910.5206,27394.043,41408.7475,30947.8805,43288.6614,33716.0416,36710.8343,25498.5091,38785.8578,28054.5878,42026.2977,31264.7287,40589.4013,30800.8894,37297.9249,27874.7966,34597.4308,23672.1232,40690.7483,29483.8572,39210.8643,29047.3176,0.314786228,0.317614294,0.260907998,5.2,145114,2609079,2754193,29173,58611,6533,2745201,26425,503614,6765,103776,6690,0.04469731,0,0.054364392,3555,1.8
6/6/20,202023,X,US,-134,-5,268,-231,-213,74,808.97,25388.6363,20205.3049,24591.086,16101.9459,25772.5095,18004.5914,28275.3899,20470.7635,30051.4231,22737.7255,24941.9982,16712.5015,26321.6361,18417.0022,28717.7301,20723.6163,28310.6441,20876.2837,25551.4138,18490.5694,23895.9385,15800.2947,27828.0972,19522.253,26786.9688,19230.1073,0.295762335,0.063835779,0.037066606,3.5,148496,3019380,3167876,25595,50590,5700,3323672,7125,,,110123,6347,0.041343378,0,0.050568144,,
6/13/20,202024,X,US,-19,-2,53,-28,-16,4,734.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296997382,,,,146089,3089681,3235770,20994,43536,5277,3727532,8161,,,115436,5313,0,0,0,,
1/4/20,202001,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022186063,0.016598662,,0,0,0,0,0,0,0,0,4325,0,0,0,0,0,0,875,2.6
1/11/20,202002,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023797603,0.016848055,,0,0,0,0,0,0,0,0,4516,144,0,0,0,0,0,876,2
1/18/20,202003,AL,1,0,0,0,0,0,0,668.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022201709,0.016292454,,0,0,0,0,0,0,0,0,4157,0,0,0,0,0,0,875,2
1/25/20,202004,AL,1,0,0,0,0,0,0,751.43,974.4922,923.034,848.8848,814.1344,972.4713,932.8959,1178.8098,1132.9741,1493.5867,1439.6233,830.4583,797.8038,965.5291,926.2812,1173.1851,1125.4198,1449.9055,1394.9145,1414.8986,1360.3822,945.6547,908.5251,1087.2303,1044.1998,1064.9379,1022.3932,0,0.019713991,0.016751396,,0,0,0,0,0,0,0,0,4220,0,0,0,0,0,0,879,2.2
2/1/20,202005,AL,1,0,0,0,0,0,0,743.38,1124.3102,1080.5969,999.439,973.0839,1127.8825,1096.1108,1371.1259,1332.2316,1659.1327,1613.5859,971.3984,946.7019,1132.397,1101.59,1355.8587,1314.9588,1632.9609,1585.9842,1590.5744,1546.2061,1097.8941,1070.5052,1255.5277,1220.6421,1231.6217,1196.88,0,0.02077792,0.0202429,,0,0,0,0,0,0,0,0,4104,0,0,0,0,0,0,882,2.5
2/8/20,202006,AL,1,0,0,0,0,0,0,741.91,1156.6824,1131.5067,1028.3226,1013.4645,1168.2974,1151.1502,1398.2633,1380.1286,1710.7296,1687.6599,1012.9119,998.836,1161.5865,1145.669,1374.2815,1355.3624,1683.1343,1657.4252,1625.5918,1605.1604,1127.164,1110.9175,1295.8212,1278.9929,1267.5963,1249.8269,0,0.022530275,0.02121391,,0,0,0,0,0,0,0,0,4471,9,0,0,0,0,0,882,2.5
2/15/20,202007,AL,1,299,15,694,121,40,-19,817.08,1295.817,1253.3075,1153.4589,1121.9884,1312.3173,1281.8274,1583.039,1546.4131,1937.5262,1896.2934,1138.4252,1109.8299,1308.0261,1276.8407,1554.6314,1519.0361,1895.6407,1846.7114,1843.675,1807.8726,1262.0433,1224.6224,1446.7217,1412.0672,1430.6784,1397.7121,0,0.022420753,0.018894111,,0,0,0,0,0,0,0,0,4366,0,0,0,0,0,0,884,2.2
2/22/20,202008,AL,1,-432,-1464,382,628,-789,317,839.26,1243.4066,1206.657,1088.9345,1055.2993,1238.6242,1213.259,1513.0096,1493.3833,1924.561,1910.9838,1066.125,1038.1245,1238.4999,1211.123,1491.9506,1468.7717,1872.9354,1849.1302,1786.3384,1768.6113,1201.6599,1158.877,1401.4841,1373.6476,1369.7101,1347.1676,4.921828769,0.021403761,0.017670019,,0,0,0,0,0,0,0,0,4358,0,0,0,0,0,0,885,2.1
2/29/20,202009,AL,1,4477,1164,1658,1347,708,-154,870.21,1393.2055,1349.6859,1266.5334,1226.7689,1406.9911,1374.7806,1664.0622,1636.3702,2010.3755,1983.2807,1247.6906,1213.8969,1403.4517,1370.5055,1651.6633,1619.6803,1960.3566,1921.8328,1939.0544,1909.0693,1390.5757,1338.3587,1575.0651,1542.5884,1515.3809,1486.1173,4.069735147,0.021716682,0.016858385,,0,0,0,0,0,0,0,0,4625,257,0,0,0,0,0,888,2
3/7/20,202010,AL,1,5670,2472,2012,1380,976,-102,882.18,1332.6397,1287.4606,1212.9394,1162.0288,1338.7747,1299.4986,1599.5052,1567.2685,1903.0258,1882.5979,1183.517,1141.7014,1345.9412,1304.5406,1578.7414,1541.3891,1879.6444,1839.362,1861.1488,1818.7256,1327.9008,1263.7821,1509.1646,1470.5984,1448.2675,1413.3591,3.95931154,0.022373815,0.017906869,,0,0,0,0,0,0,0,0,4209,0,0,0,0,0,0,889,2.5
3/14/20,202011,AL,1,4411,6314,3375,1483,683,-166,881.32,967.3179,898.7147,869.0249,801.2416,990.6091,926.0577,1193.7158,1132.042,1384.7734,1323.229,866.8558,808.1316,1000.414,936.6061,1171.0974,1103.8627,1336.7377,1251.9084,1315.5214,1222.0726,950.2331,868.1745,1094.6074,1034.564,1068.7799,1007.1819,4.394519029,0.021388115,0.017259037,,6,22,28,0,0,0,0,0,4315,30,0,0,0,0,0,890,3.6
3/21/20,202012,AL,1,-5045,6519,1730,-313,-6294,1568,649.91,709.782,655.4907,671.8379,615.0345,744.098,697.4574,842.5861,796.7904,852.7708,813.0184,671.9299,624.3609,750.2072,702.888,842.4905,787.8928,825.934,774.2235,879.5303,814.4484,722.3409,653.308,789.8005,738.8029,761.8943,717.977,4.668063913,0.02160716,0.014450782,,118,6,124,0,0,0,0,0,4215,0,0,0,0,0,0,890,5.5
3/28/20,202013,AL,1,-11696,-1048,1279,-2963,-12331,2495,504.2,539.4714,483.7104,531.0183,471.6812,578.5758,524.6762,629.9675,573.2516,580.3561,523.4719,539.2719,486.2917,582.974,528.5148,626.1337,562.0606,563.4374,502.2813,622.5244,549.1782,567.0642,497.0501,597.2297,535.8251,574.4319,521.5176,3.033355368,0.018039866,0.010776291,,572,4156,4728,0,0,3,0,0,4185,4,4,4,0,0,0,892,5.7
4/4/20,202014,AL,1,-12137,898,917,-4120,-14150,2690,482.23,545.0471,484.2608,535.0053,469.874,575.1929,519.1407,636.7975,576.511,593.1585,535.2483,537.7815,481.0442,587.6258,528.2938,632.6141,565.1936,573.1589,510.2928,616.5629,541.6472,585.7505,508.4739,598.9586,532.5728,574.7126,519.0204,1.554339063,0.018665707,0.010195604,,884,5089,5973,0,0,40,0,212,4474,298,44,40,0,0,0,889,5
4/11/20,202015,AL,1,-10097,-1803,388,-5366,-16272,2962,471.01,461.5628,404.0055,451.4098,385.965,487.9073,431.6824,538.8293,479.4911,495.1964,440.2059,456.5462,398.9955,495.0358,435.6438,534.9332,468.7459,481.1451,420.9823,521.6278,449.2834,494.0155,417.4335,500.3832,433.7379,486.0193,430.632,0.999310261,0.019213318,0.009505715,,1611,8785,10396,0,0,48,0,190,4341,189,92,48,4.998103,8.782327087,5.3428379,890,4.1
4/18/20,202016,AL,1,-7092,-2224,-324,-4853,-15196,2639,530.21,527.5695,449.6378,527.7569,434.9662,567.7238,486.0807,615.3263,532.1969,548.2748,475.7795,540.0441,455.5703,580.2259,493.5934,601.7373,511.9838,529.0363,451.4251,584.0362,491.3332,556.8656,452.7923,572.0042,479.4676,564.136,484.9876,0.576408084,0.018321495,0.00832368,,1464,19825,21289,0,0,55,0,218,4334,210,153,61,4.7763204,52.0613623,4.5842265,893,3.3
4/25/20,202017,AL,1,-6139,-1215,-259,-4170,-14445,2665,585.93,611.1438,512.1949,606.4344,481.2212,652.166,538.7954,706.5026,590.0561,638.0816,535.8142,617.6141,501.6778,664.4526,545.9673,695.486,571.4605,615.3008,507.2199,673.6424,546.5322,638.1403,499.6894,663.0853,537.6567,648.8662,538.4297,0.490670505,0.018837813,0.008592257,,1482,27324,28806,0,0,66,0,219,4340,256,209,56,5.5624212,52.09160829,6.4226375,889,2.7
5/2/20,202018,AL,1,-3776,999,1737,-2673,-13089,2184,671.41,745.5647,610.343,732.3463,558.0385,791.4035,630.0745,858.5763,693.2499,777.5754,633.0983,749.6963,584.6451,805.4551,638.3431,844.0398,670.905,746.8281,595.228,812.137,638.2848,775.2675,583.4531,795.3677,623.9028,787.7042,630.4539,0.292161604,0.0194793,0.00949686,,1297,19568,20865,0,0,76,0,184,4311,247,288,79,4.3928276,48.81481001,4.4553982,891,2.4
5/9/20,202019,AL,1,-2399,2702,1984,-1637,-11861,2089,777.53,1080.3952,904.7716,1048.7031,795.6871,1141.809,912.3734,1259.667,1029.1479,1182.9652,985.5118,1065.7899,829.1629,1168.4034,928.8985,1236.9362,994.9508,1137.8129,922.428,1204.8167,961.1582,1117.133,840.3218,1147.384,909.4816,1151.2455,927.6805,0.286969113,0.019213318,0.009561791,,2133,31152,33285,0,0,100,0,205,4321,281,390,102,4.2606986,46.6442302,5.2158776,891,2.1
5/16/20,202020,AL,1,-1549,2161,3049,-1126,-10467,1711,650.14,1127.4156,942.6974,1072.5979,795.3683,1180.217,926.5548,1324.3478,1069.76,1281.2122,1062.334,1082.9346,824.3775,1204.6939,941.388,1311.1361,1041.6314,1231.1459,990.0522,1277.3612,1012.1694,1140.5642,839.9428,1208.0225,943.6413,1205.0661,956.6084,0.214820793,0.01778953,0.009844388,,1956,26044,28000,0,0,97,0,159,4054,77,485,95,2.7529914,34.8348891,3.7185054,894,2
5/23/20,202021,AL,1,-903,2341,2677,-556,-10210,1678,995.14,1300.5769,1107.9751,1230.4067,903.0286,1362.8075,1065.9281,1541.7362,1243.3912,1552.1202,1289.1498,1235.9185,931.7335,1387.2934,1079.3422,1530.6202,1215.4632,1495.2706,1201.8598,1516.7185,1199.8433,1297.9931,942.7396,1407.9919,1097.7821,1409.3363,1116.0734,0.284961859,0.015536502,0.009378805,,2415,26767,29182,0,0,61,15902,202,4046,144,549,64,3.3710065,0,3.9378756,894,1.8
5/30/20,202022,AL,1,-1734,1721,2774,-574,-12300,1782,1013.26,1234.3863,1046.7535,1159.0047,831.4526,1292.1749,989.0048,1457.0302,1152.4275,1473.7532,1199.41,1164.6783,859.1637,1304.5621,993.5931,1464.7999,1141.5085,1415.4403,1110.7912,1444.4412,1119.9316,1218.6039,866.8795,1332.6901,1021.785,1335.6877,1035.0149,0.17769962,0.010592358,0.005653403,,3421,26104,29525,0,0,72,59869,237,3152,0,618,69,3.6217044,0,4.0443955,896,1.6
6/6/20,202023,AL,1,103,2689,3289,249,-8989,1419,1025.35,793.2262,662.117,743.958,516.7604,825.4485,615.5526,923.293,712.1336,968.5139,769.6999,745.9434,533.3157,830.4686,616.3916,930.8207,705.3824,929.7141,713.3343,938.3804,706.96,794.5483,548.2138,854.4149,634.6553,852.8606,643.6087,0.39553839,0.002863222,0.001045533,,2684,30759,33443,0,0,71,73645,167,,,689,71,3.9247084,0,4.4725752,,
6/13/20,202024,AL,1,-271,92,204,-91,-802,85,883.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437924046,,,,4558,43050,47608,0,0,84,88217,248,,,773,84,0,0,0,,
1/4/20,202001,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,194,2.2
1/11/20,202002,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,429,69,0,0,0,0,0,196,1.7
1/18/20,202003,AK,2,0,0,0,0,0,0,668.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,401,25,0,0,0,0,0,193,1.5
1/25/20,202004,AK,2,0,0,0,0,0,0,743.88,800.766,761.9491,1024.0353,952.4338,780.6811,735.6397,740.4138,712.6955,903.7439,880.3439,751.6862,724.2977,751.0421,720.7116,845.7393,815.9727,997.2001,966.1955,968.3609,930.4329,0,0,914.3403,886.8742,816.6765,786.9018,,,,,0,0,0,0,0,0,0,0,397,37,0,0,0,0,0,193,1.5
2/1/20,202005,AK,2,0,0,0,0,0,0,732.24,864.3075,822.4544,998.6404,928.1661,835.3003,791.8601,822.0475,793.7804,959.2277,927.3498,792.141,764.9362,819.1119,787.2674,879.5425,849.3107,1101.8924,1054.5418,981.0441,942.1215,0,0,1015.248,985.7351,879.0354,845.1683,,,,,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,194,1.7
2/8/20,202006,AK,2,0,0,0,0,0,0,761.72,866.3492,838.563,999.8922,963.9895,871.2285,840.1604,786.1522,764.9273,977.1094,952.8156,804.6793,780.2462,795.8514,774.0194,884.9627,862.0745,1145.3887,1112.0438,979.5172,948.2783,0,0,1006.623,984.1428,884.292,859.5541,,,,,0,0,0,0,0,0,0,0,385,41,0,0,0,0,0,193,1.7
2/15/20,202007,AK,2,51,5,25,9,-3,-1,799.97,967.4679,937.8952,1089.4663,1053.8678,975.5136,938.5857,904.8679,880.1998,1085.6865,1054.84,907.1981,876.3986,917.7547,887.6103,996.9302,970.2452,1217.8158,1187.8889,1104.8553,1068.2406,0,0,1101.2744,1070.8347,992.6293,964.5832,,,,,0,0,0,0,0,0,0,0,361,21,0,0,0,0,0,197,1.6
