date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179101,273.3333333,0,0,0,0,0,3544,2.4,0,0,0,0
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180799,589.6666667,0,0,0,0,0,3548,1.9,0,0,0,0
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176706,125.6666667,0,0,0,0,0,3546,1.8,0,0,0,0
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42163.107,39793.04,44485.7182,42130.3733,51762.0011,49127.343,67872.0036,64794.5355,38464.7925,36440.8185,44182.6959,41850.5225,53448.4638,50845.0985,71113.0965,67882.9692,60499.5333,57633.5712,49457.5106,46824.7874,53104.5974,50441.7482,51329.4707,48692.0835,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176053,64,0,0,0,0,0,3572,2,2,2,0,0
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48914.6268,46726.8546,51055.5825,48649.3819,59122.3869,56225.5905,76384.3444,72911.6261,44624.4179,42739.1952,50615.6915,48250.5495,61067.1533,58249.6926,79743.4314,76042.7705,68933.7032,66040.8937,56837.1126,54386.9567,60935.9337,58363.7103,57990.345,55127.7496,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175032,86.66666667,0,0,0,0,0,3572,2.3,8,6,0,0
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49758.2959,48588.6897,51475.3886,50146.698,58896.4549,57279.0923,75855.2273,74023.6837,45371.9025,44297.6622,50927.8902,49642.6975,60971.2043,59438.9288,79634.1385,77742.4546,68840.2634,67471.4514,57819.4754,56577.5787,61155.7973,59847.0991,58047.756,56445.4901,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176930.3333,387.6666667,0,0,0,0,0,3586,2.2,12,4,0,0
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53349.7028,51082.0541,56179.0117,53881.9624,65285.991,62685.6861,86536.6426,84136.015,48970.8017,46867.578,55784.3867,53550.0454,67503.1184,65053.6059,89996.3918,87463.7292,77284.6089,75142.5831,62703.8645,60243.6159,67282.2033,64811.4437,64751.0473,62270.1262,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174987,265.6666667,0,0,0,0,0,3599,2.1,14,2,0,0
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54031.3401,50666.4425,56632.6875,53707.3306,65943.1782,62920.4792,89108.642,86829.0337,48831.4043,45849.0862,56225.4965,53343.054,68437.3525,65545.6614,93660.2365,91218.1105,79558.9639,77007.0176,63793.6639,60124.6102,68370.3711,64887.1822,66054.4811,63187.2942,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175325,456.3333333,0,0,0,0,0,3594,1.9,16,2,0,0
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58339.8187,54960.5053,59969.0944,57236.5153,68163.6899,65443.1809,87561.5432,85116.0116,53220.9468,50231.5336,59261.6698,56559.4754,70540.481,67872.684,91223.9973,88517.4498,79528.83,77022.3558,66901.0436,63314.3485,71061.2994,67711.3737,67316.0368,64693.4735,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176569,1150,1,1,0,0,0,3610,1.8,25,9,0,0
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57858.3191,53921.1385,58843.3243,55622.9221,66644.8762,63485.5541,84752.8698,81700.9945,52583.8598,49047.8324,58292.7224,55147.8141,69072.6607,65948.3009,87854.7712,84442.3613,76931.1947,73869.1905,65384.4295,61176.2894,69563.5498,65700.0984,65783.8136,62681.6187,0,0,0,0,0,0,0,5.068340395,0.1,556,1148,6091,0,0,22,0,2,177619,2720.666667,17,16,0,0,0,3622,2.2,404,379,6387,19683
