date,epiweek,region,fips,positiveIncr,negativeIncr,ttlTestIncr,onVentilation,inIcu,deathIncr,death_jhu_incidence,recovered,covid-net,hospitalizeIncr,hospitalization,n_visits,cases,h_next1,h_next2,d_next1,d_next2
14/03/2020,202011,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
21/03/2020,202012,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
28/03/2020,202013,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
04/04/2020,202014,AS,60,0,3,3,0,0,0,0,0,,0,,,,0,0,0,0
11/04/2020,202015,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
18/04/2020,202016,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
25/04/2020,202017,AS,60,0,0,0,0,0,0,0,0,,0,,,,0,,0,
02/05/2020,202018,AS,60,0,0,0,0,0,0,0,0,,0,,,,,,,
07/03/2020,202010,AZ,4,3,17,20,0,0,0,0.25,0,,0,,,3.99412588776366,0,0,0,1
14/03/2020,202011,AZ,4,7,77,84,0,0,0,0.5,0,,0,,,4.52429805033663,0,0,1,14
21/03/2020,202012,AZ,4,92,119,211,0,0,1,1,0,,0,,,4.58634860378554,0,0,14,37
28/03/2020,202013,AZ,4,769,7215,7984,0,0,14,14,0,,0,,,2.90299756327899,0,0,37,56
04/04/2020,202014,AZ,4,1146,17686,18832,0,0,37,37,0,,0,,,0.436037672610273,0,0,56,69
11/04/2020,202015,AZ,4,1374,11996,13370,0,0,56,56,0,,0,,,0.452571476358063,0,1022,69,89
18/04/2020,202016,AZ,4,1326,9189,10515,1157,1706,69,69,2172,,0,,,0.151348066731463,1022,245,89,56
25/04/2020,202017,AZ,4,1561,9902,11463,1322,2103,89,89,8509,,1022,,,0.34330715382017,245,,56,
02/05/2020,202018,AZ,4,1324,8099,9423,982,1542,56,56,7291,,245,,,0.001523290036978,,,,
07/03/2020,202010,CA,6,16,0,16,0,0,0,2.5,0,0.2,0,,,9.4264067865857,0,0,5,19
14/03/2020,202011,CA,6,183,454,637,0,0,5,5,0,0.9,0,,,9.78740362486467,0,1034,19,77
21/03/2020,202012,CA,6,1027,10333,11360,0,0,19,19,0,1.9,0,,,8.69481001669291,1034,1783,77,175
28/03/2020,202013,CA,6,3364,9300,12664,0,610,77,77,0,3.1,1034,,,3.54541742856117,1783,4344.5,175,333
04/04/2020,202014,CA,6,7383,81125,88508,0,5163,175,175,0,3.1,1783,,,1.36674927744643,4344.5,2763.75,333,463
11/04/2020,202015,CA,6,7446,50930,58376,0,8255,333,333,0,2.9,4344.5,,,0.564347228297004,2763.75,3465.125,463,579
18/04/2020,202016,CA,6,9491,78099,87590,0,9986,463,463,0,1.5,2763.75,,,0.362545518369385,3465.125,3278.4375,579,334
25/04/2020,202017,CA,6,12174,234195,246369,0,10500,579,579,0,,3465.125,,,0.355273056052394,3278.4375,,334,
02/05/2020,202018,CA,6,7118,121804,128922,0,7402,334,334,0,,3278.4375,,,0.169128030424875,,,,
07/03/2020,202010,CO,8,8,36,44,0,0,0,0,0,0,0,,,6.85614431088354,0,44,1,3
14/03/2020,202011,CO,8,93,555,648,0,0,1,1,0,0.6,0,,,7.0567216889904,44,195,3,27
21/03/2020,202012,CO,8,262,2707,2969,0,0,3,3,0,3.6,44,,,6.46029364529754,195,584,27,80
28/03/2020,202013,CO,8,1371,6625,7996,0,0,27,27,0,8.6,195,,,5.20592237881644,584,489,80,139
04/04/2020,202014,CO,8,2439,7956,10395,0,0,80,80,0,11.4,584,,,1.98333960837537,489,443,139,141
