date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179101,275.3333333,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180779,594,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176725,140.6666667,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42162.8617,39795.8324,44486.6179,42133.4462,51764.8698,49131.4764,67870.2439,64794.411,38464.948,36443.0072,44183.8951,41854.0639,53449.6501,50848.0659,71112.8511,67884.7397,60500.624,57637.4057,49458.2409,46828.3062,53105.848,50445.4293,51331.1198,48695.322,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176049,62,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48913.4854,46728.1319,51055.8131,48651.1394,59124.7491,56228.6984,76386.1283,72914.5476,44625.6721,42742.1958,50616.6883,48253.303,61066.4838,58250.352,79745.7108,76046.3167,68934.7904,66044.3093,56837.8897,54389.6973,60938.1074,58367.7706,57991.698,55130.3942,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175021,90.66666667,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49759.7668,48591.5978,51476.0898,50148.2242,58897.5625,57281.0402,75858.1688,74026.7178,45374.2917,44300.9345,50929.0777,49644.9161,60971.9621,59439.8063,79637.1758,77745.9916,68842.4751,67474.9126,57821.178,56579.8309,61156.8099,59849.1002,58049.8455,56448.3431,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176930.3333,395.6666667,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53352.5353,51087.4898,56180.1968,53884.0154,65289.3307,62690.3099,86539.5063,84139.3991,48973.4928,46871.7896,55786.8918,53553.8417,67505.9232,65057.2688,89999.5416,87467.4511,77287.5607,75147.3442,62707.0457,60248.7328,67284.1757,64814.9507,64754.5018,62274.6446,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174981,279.6666667,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54030.5133,50671.4221,56634.6504,53712.2267,65945.4509,62925.9119,89110.3076,86833.9498,48830.9798,45853.1314,56227.536,53348.8627,68439.9151,65550.8581,93661.0201,91222.1498,79561.1965,77013.7553,63796.2328,60133.1828,68371.6869,64893.2647,66056.8076,63192.6055,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175323,477,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58341.9338,54967.8966,59971.1401,57241.1858,68166.0083,65448.2507,87563.7013,85120.6114,53223.5772,50237.1447,59262.9072,56564.9516,70544.1966,67878.7421,91225.2792,88521.11,79531.5768,77028.6041,66896.2325,63315.163,71062.9729,67717.3335,67318.478,64698.3663,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176567,1399.666667,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57861.3707,53928.3046,58844.4839,55626.4088,66645.3722,63488.5496,84751.6328,81701.8598,52586.4888,49053.1689,58294.9098,55153.2348,69073.1041,65950.5376,87856.3169,84445.999,76931.8675,73873.4735,65385.6593,61182.6132,69563.0565,65703.1828,65785.8618,62685.8498,0,0,0,0,0,0,0,5.068340395,0.1,556,1148,6091,0,0,22,0,2,177611,2999.666667,17,16,0,0,0,3622,2.2
