date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179113,2287,0,0,0,0,0,3537,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180737,2536.333333,0,0,0,0,0,3537,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176682,348,0,0,0,0,0,3531,1.8
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,,49045.5918,46191.3033,42178.6377,39847.3377,44510.274,42185.8383,51810.421,49204.3829,67948.4297,64894.7208,38479.7848,36491.424,44217.6087,41912.6407,53504.6483,50932.4152,71196.7273,67993.1796,60550.4169,57724.4363,49467.6443,46882.6929,53139.6028,50514.4454,51389.5091,48779.4033,0,,0,0,1,0,0,0,0,0,175961.3333,177.3333333,0,0,0,0,0,3564,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,,56011.9471,53042.8844,48934.4175,46780.7075,51084.8062,48705.5192,59169.4474,56299.312,76466.5959,73017.861,44647.9744,42793.2624,50646.803,48308.8559,61119.5374,58328.2892,79842.7596,76169.5484,68996.2639,66140.6525,56859.4864,54448.8361,60974.7699,58435.5382,58051.0115,55213.7775,0,,0,0,6,0,0,0,0,0,174976,205,0,0,0,0,0,3568,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,,56092.5985,54571.3671,49796.6367,48636.2129,51508.608,50188.2791,58949.4992,57336.5798,75941.446,74109.4232,45404.5869,44341.2052,50966.3657,49688.6031,61035.8372,59507.3187,79741.6146,77851.0142,68902.1386,67547.2507,57857.0863,56627.6028,61203.202,59900.028,58118.6972,56521.3449,0,,0,0,10,0,0,0,0,0,176656.3333,636.6666667,0,0,0,0,0,3579,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53396.2235,51142.4779,56231.2323,53940.7434,65367.1685,62769.1559,86661.4797,84260.5644,49020.8592,46926.1465,55837.5833,53613.1449,67592.6182,65147.1581,90149.1205,87615.4953,77382.8114,75255.4751,62764.1486,60322.6621,67357.576,64894.7925,64847.1896,62369.4822,0,,0,0,8,0,0,0,0,0,174942,497,0,0,0,0,0,3591,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54083.4146,50760.4756,56676.7077,53781.7915,66022.4414,63020.9575,89233.592,86966.9603,48875.1032,45926.0851,56284.6446,53431.4639,68523.3043,65658.6812,93810.1469,91378.1146,79642.4562,77128.4487,63849.9247,60235.7675,68433.624,64990.8147,66150.0762,63303.3657,6.542166732,,0,0,12,0,0,0,0,0,175211.3333,676.6666667,0,0,0,0,0,3590,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58401.6184,55048.1512,60028.6604,57315.0201,68251.1778,65538.8917,87689.4725,85243.1367,53276.0309,50307.0634,59325.8035,56642.1091,70642.0674,67987.2283,91371.4073,88659.7069,79610.7051,77126.3332,66954.0245,63408.1708,71141.1873,67813.9914,67418.5924,64803.5464,5.505270381,,18,24,6514,0,0,5,0,0,176423,2207.333333,1,1,0,0,0,3598,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57923.2011,53996.546,58911.7492,55694.5002,66732.1732,63570.7619,84871.4552,81811.152,52629.8065,49102.1717,58366.8824,55225.3031,69170.7625,66049.0611,88004.9042,84573.9501,77027.4268,73972.3768,65448.2965,61261.7284,69627.1215,65773.672,65887.1631,62780.3225,5.068340395,0.1,654,3373,4199,0,0,22,0,2,177456.3333,3644,17,16,0,0,0,3610,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,,42766.5493,38533.297,39049.6954,34767,40222.0974,36322.0848,45861.5679,41628.9077,57927.6928,53352.9907,35756.7978,31905.5158,40076.5603,36218.717,47477.9774,43215.3222,59229.6973,54173.7275,51460.3255,47238.5501,43825.4977,39213.4921,47362.7805,42764.7921,45099.18,40959.9979,5.10483724,0.7,4065,25224,34188,0,0,37,0,21,174426.6667,2096.666667,58,41,0,0,0,3617,3.4
