date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179110,284.3333333,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180817,619,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176707,135.6666667,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42162.9403,39800.375,44488.2678,42138.0379,51768.187,49138.1709,67876.2848,64802.285,38466.8686,36449.5725,44186.5531,41858.9356,53453.2623,50855.7616,71117.5698,67891.9598,60504.2635,57646.6367,49456.5009,46832.6554,53108.728,50452.9571,51335.7419,48703.6485,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176021,58,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48911.5349,46729.6994,51057.1226,48655.143,59122.4389,56229.2906,76392.4302,72922.7599,44626.4487,42746.7864,50618.6069,48256.3152,61066.4722,58254.5785,79748.5329,76051.8621,68939.0667,66053.3298,56831.4721,54388.2156,60939.7194,58372.7998,57993.5461,55135.9216,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175017,93,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49759.6213,48592.4147,51479.1989,50151.9049,58902.9284,57286.2987,75863.9246,74031.7235,45375.9776,44304.3049,50932.5417,49647.8477,60975.9433,59445.4534,79643.8772,77751.967,68846.6355,67480.5875,57820.6287,56581.473,61159.5863,59852.3013,58055.7625,56455.3259,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176901.3333,404.6666667,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53355.4835,51093.0452,56186.5787,53891.6707,65295.191,62696.7617,86548.5027,84149.352,48979.7166,46879.8482,55789.1978,53557.3248,67512.449,65066.8395,90010.2307,87479.19,77296.3878,75160.4152,62709.5048,60256.8506,67290.8967,64823.6292,64762.486,62284.9659,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174980,284,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54034.3515,50683.9682,56640.4341,53723.9264,65949.9328,62934.991,89118.1549,86846.0695,48834.8919,45863.867,56230.7221,53358.0155,68447.2624,65564.4719,93668.4307,91234.5636,79567.0198,77028.9176,63798.4701,60147.9718,68375.4486,64905.9248,66063.7001,63205.3654,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175277,501.3333333,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58347.2846,54979.9958,59976.6989,57252.537,68171.5293,65457.0433,87569.1355,85129.0822,53228.0595,50246.968,59266.6508,56573.6424,70551.6994,67892.4257,91231.6216,88529.8244,79537.6541,77042.6111,66899.344,63329.3961,71069.1266,67730.7711,67325.9943,64710.5284,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176530,1721,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57864.2091,53937.1174,58851.5963,55637.9757,66652.2036,63497.1944,84761.2819,81713.778,52589.5341,49061.0251,58300.8878,55163.5161,69081.0175,65962.435,87868.1433,84459.2355,76940.3925,73888.6422,65386.4578,61192.4498,69568.092,65714.3156,65793.8842,62697.7991,0,0,0,0,0,0,0,5.068340395,0.1,556,1362,6543,0,0,22,0,2,177585,3252,17,16,0,0,0,3622,2.2
