date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,hospitalization,n_visits,D57,E11,E78,I10,I21,I51,J45,R06,R10,R11,R51,R52,R91,R93,Z20,Z21,Z85,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222965,3636773,3925,255015,152232,361408,17251,25713,105503,272411,98509,74137,43007,15610,70702,12503,18758,1522,16173,,0,0,0,0,0,0,0,0,178892.3333,2082.666667,0,0,0,0,0,3475,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244417,4336527,4519,323489,229950,474323,18396,30557,128675,319457,123642,81172,52429,16637,80588,16551,20515,2096,24754,,0,0,0,0,0,0,0,0,180486,2245.666667,0,0,0,0,0,3478,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239742,4310194,4542,320250,227582,469193,18306,29980,125714,308540,125850,82005,53344,16507,78242,16779,22555,2121,24701,,0,0,0,0,0,0,0,0,176325,294.3333333,0,0,0,0,0,3477,1.9
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,234693,4247445,4419,307687,215471,450508,18248,28736,124507,298212,122219,79724,53131,16673,76764,16087,24567,1973,23042,,0,0,0,0,0,0,0,0,175285,126,0,0,0,0,0,3496,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,238783,4471699,4619,319066,222783,467608,18596,29586,132167,309488,127364,86618,59070,18921,78370,16835,30841,2117,23767,,2,0,2,0,0,0,0,0,174252.3333,153,0,0,0,0,0,3511,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,239508,4560414,4729,331886,226618,480021,20010,30081,135641,313259,125598,86700,58167,19757,79484,16819,32244,2038,23497,,9,0,9,0,0,0,0,0,176942.3333,628.6666667,0,0,0,0,0,3511,2.3
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,241105,4416206,4543,319335,224372,471070,18780,30064,130465,311091,123490,82656,55293,18446,79533,17297,28889,2036,23784,,15,0,15,0,0,0,0,0,174731.6667,513,0,0,0,0,0,3534,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,237807,4285015,4410,313385,216095,457923,18935,29683,125768,302081,120860,79307,52911,17389,77460,16349,25829,1889,22749,,78,0,78,0,0,0,0,0,175202,686.3333333,0,0,0,0,0,3532,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,237437,4314445,4384,318119,221269,468867,19266,29737,127375,306114,123585,78821,52625,17168,79007,17237,23800,2037,23428,,193,17,210,0,0,5,0,0,175933,1584,1,1,0,0,0,3537,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068340395,237776,4483978,4376,342743,233365,493407,20676,31033,135059,316669,123241,80286,52720,17406,80380,17059,23480,2047,23842,0.1,972,2850,3822,0,0,22,0,2,176049,2469,17,16,0,0,0,3553,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,42766.5493,38533.297,39680.849,35099.3339,40981.7743,36810.6288,46862.0824,42356.6412,59274.1306,54469.1269,36388.0213,32267.28,40917.8924,36797.2445,48550.5352,44012.8148,60622.9677,55274.6516,51189.5279,46851.4266,42961.2994,38236.9056,47762.1929,42910.9938,46268.5847,41844.4673,5.10483724,232548,4259001,4340,313959,214594,457967,18579,29260,133835,307998,116442,76304,50077,15980,78685,16572,25038,2065,22865,0.7,4224,23822,28046,0,0,37,0,20,172801.3333,954,58,41,0,0,0,3559,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,28802.1464,25742.9452,27900.346,24437.1387,29051.8411,26064.7574,31958.0194,28853.9531,34213.6159,30970.4982,27558.6042,24382.647,29460.4604,26471.6825,32593.2533,29406.6999,32713.1518,29251.4305,30649.8574,27546.608,28701.7879,25121.5379,32237.5127,28664.4671,29919.184,26973.5326,4.891688871,211871,3448249,3588,256035,158370,364238,16162,23526,117423,271834,86016,56360,38972,13246,68582,12749,51859,1628,15870,3,27415,150573,177988,0,0,264,0,1994,174634.3333,3236.666667,456,398,0,0,0,3556,6
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,18950.1368,16558.7482,18788.9965,15984.8744,19455.2604,16996.7058,21064.3317,18533.7201,20849.2272,18337.7681,19211.831,16541.2858,19959.9344,17445.9644,21224.1568,18625.7318,19259.8847,16790.5443,18706.4044,16262.5901,18426.7162,15590.7494,21306.9453,18388.1309,19445.8697,17083.5545,2.880773413,193096,2899658,3185,220862,124627,311773,14475,19644,101068,245186,70158,46815,34907,11342,62804,10255,79670,1415,11732,7.8,100630,467863,568493,1139,5265,1934,5804,14244,183022,12625.66667,2934,2478,0,0,0,3571,6.9
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,17988.7555,15381.7373,18090.0483,15023.8402,18525.5421,15874.6144,19832.0669,17181.4995,19339.0679,16856.8068,18500.265,15608.2087,19004.622,16301.6737,20019.8065,17283.343,17840.4326,15373.6112,17554.3662,15021.2204,17875.9845,14769.7516,20149.0005,17043.0805,18277.0216,15831.3056,1.546892241,193509,2929346,3113,240877,133412,332038,15011,18572,97294,242415,67118,44872,33997,11986,64058,9623,120709,1315,11517,9.6,185208,722650,907858,3793,27571,6790,53625,30564.5,201513,32538,11031,8097,0,0,0,3569,6.9
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,17456.4964,14593.6271,17255.5851,13864.7375,17946.3831,14999.5927,19397.305,16499.8827,19226.2503,16493.0957,17841.3311,14626.4805,18448.1348,15446.964,19595.117,16575.3195,17605.3646,14905.6229,16918.3159,14175.0747,16949.0698,13587.2261,19380.8779,15978.6313,17945.4372,15224.5727,0.921628993,195987,2734751,2933,221023,123666,309870,13964,18023,88206,230931,65605,41931,32637,10332,62292,9287,136020,1298,10875,9.3,215089,824742,1039831,29529,70853,12448,155995,45540.25,214962,47508.66667,24777,13746,0.127053498,0.373985197,0.13056557,3565,6.1
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,15019.5666,11000.6536,15363.9486,10737.9969,15911.6995,11591.4865,16966.6787,12629.3375,16335.2526,12448.6037,15986.8696,11399.4282,16388.6742,11942.142,17011.9367,12602.8562,14945.5386,11230.5057,14732.1931,10907.5182,14844.0392,10383.2332,17008.8854,12268.7531,15749.2851,11693.4431,0.566402947,198387,2753562,3017,228423,132446,323507,14416,18641,85506,222566,69950,41756,33075,10141,61161,9813,139050,1368,11563,10.1,199756,830414,1030170,41926,100729,14030,317380,37387.375,208889.6667,43286.66667,40442,15665,0.048809678,2.490342381,0.050641239,3573,5
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,20754.789,16469.9714,20657.9191,15309.1479,21607.2196,16770.8668,23177.3683,18340.7249,22566.4154,18122.3298,21486.2316,16275.7594,22201.0355,17249.8067,23293.9243,18344.8364,20639.64,16327.9508,19883.9266,15547.5625,19735.7805,14632.911,23005.9236,17638.9772,21579.621,17008.2477,0.487900747,200479,2876065,3120,237195,142076,336360,14990,19891,84443,227814,76498,44044,35683,10306,61072,10608,174123,1419,12804,9.7,210448,1270304,1480752,38075,102615,13335,613274,32629.8125,203097.6667,39321,54517,14075,0.043848702,2.486751767,0.047387981,3563,4.3
5/2/20,202018,X,US,-245,-70,12,-312,-298,107,516.84,23941.2249,18715.7621,23935.7823,17144.3984,24830.6907,18664.6629,26475.3373,20338.9363,25790.2976,20147.0631,24832.0399,18176.0342,25518.6488,19198.0858,26644.0324,20361.6112,23639.7583,18161.2211,22713.3311,17236.4602,22749.6672,16308.6633,26272.3739,19577.8226,24795.9301,18940.1203,0.388695513,200902,3141894,3198,263501,163036,371423,15988,20799,86079,232883,82506,45757,38689,11260,60434,11426,257568,1390,14289,9.4,193654,1428371,1622025,33808,94012,12570,1017337,37152.3438,192371.3333,30488,67681,13164,0.047181927,0.865922766,0.052089368,3571,3.8
5/9/20,202019,X,US,-211,-25,66,-290,-277,102,583.14,30838.6687,24700.5151,30265.0085,21647.0846,31818.7178,24051.5986,34430.3944,26714.0776,34476.3347,27366.4999,31441.6265,23012.0965,32720.4398,24758.2604,34701.9621,26793.3454,31631.1438,24629.2919,29768.1045,22899.9439,28953.0855,20840.0567,33630.2386,25269.2813,32302.875,24870.9445,0.331303841,200179,3215310,3289,259094,168512,369852,15139,21346,83500,233256,88019,46116,38847,10474,61851,12378,302678,1486,16405,8.2,175700,1699677,1875377,39589,85938,12546,1350209,32316.8281,187301,26764.66667,79976,12295,0.033017005,0.843409852,0.037344943,3570,3.1
5/16/20,202020,X,US,-202,-36,101,-278,-263,97,470.21,31269.7136,25265.2053,30757.7332,21664.8396,32246.7663,24079.4374,34861.0395,26807.0838,35160.2827,27789.052,31711.999,22866.8428,33044.2581,24711.0988,35191.106,26916.2794,32573.6153,25216.9653,30497.4083,23290.8389,29312.5116,20777.4182,34275.2648,25504.435,32775.4453,24979.4513,0.190475405,199622,3336650,3394,265221,179905,382072,15665,22628,83857,236008,93773,47823,39128,10456,61784,13109,330928,1593,17993,7.7,159712,2200854,2360566,42468,76164,9436,1695557,22979.5859,182364,23070.66667,89892,9916,0.034178828,0.496582905,0.039645719,3571,2.8
5/23/20,202021,X,US,-175,-26,162,-263,-250,90,729.13,37270.5115,30227.798,36319.6702,25077.959,38366.7536,28159.721,41753.2979,31634.0442,43313.0381,34025.5886,37288.6646,26369.8525,39178.3843,28798.3252,42335.6358,31911.8326,40395.2523,30972.2045,37167.034,28087.801,34943.1887,24293.1191,40869.8482,30011.0322,39467.2097,29638.885,0.293713477,200312,3440542,3448,272295,189866,393084,15632,23288,83349,239274,98915,49260,38993,10263,62029,14033,342070,1641,19724,7.4,155993,2639279,2795272,34871,65677,8190,2149031,25971.207,176194.6667,17782.66667,98146,8254,0.039030825,0,0.045250727,3594,2.4
5/30/20,202022,X,US,-164,-25,280,-254,-260,87,765.8,36973.3834,30044.9082,36008.8899,24428.4843,37910.5206,27394.043,41408.7475,30947.8805,43288.6614,33716.0416,36710.8343,25498.5091,38785.8578,28054.5878,42026.2977,31264.7287,40589.4013,30800.8894,37297.9249,27874.7966,34597.4308,23672.1232,40690.7483,29483.8572,39210.8643,29047.3176,0.329334972,196053,3113909,3211,246038,165954,352264,15091,21315,72779,216355,91584,46236,34546,8986,56709,12676,290381,1408,16913,6.1,144802,2621109,2765911,29173,58611,6525,2979525,35022.3965,171003,13303.33333,104778,6632,0.038251878,0,0.046501773,3613,2
6/6/20,202023,X,US,-134,-5,268,-231,-213,74,808.97,41401.964,33114.2104,40150.9873,26324.6655,42328.4613,29568.6892,46566.2173,33727.2104,49668.5223,37734.3341,40833.3763,27383.8233,43240.396,30257.1041,47304.5511,34152.9721,46771.2224,34575.7746,42273.5974,30718.535,39035.3109,25902.7614,45543.4755,32062.4658,44161.1375,31700.1825,0.282301903,194596,3499094,3470,288196,205072,407972,16005,23327,81841,233204,100550,48984,37082,10177,59406,14443,303644,1617,20711,4.8,149645,3031723,3181368,25884,50590,5702,3889967,20534.8018,169203.3333,12250,110818,6040,0.035381589,0,0.043254569,3618,1.8
6/13/20,202024,X,US,-115,-5,348,-212,-205,66,876.77,43738.8903,35295.1867,42232.1507,27306.0754,44583.3987,30790.8482,49248.6279,35326.4471,53739.9367,40730.875,42639.6318,28216.8933,45452.4821,31435.0434,50326.9724,35975.6214,50857.3666,37421.4186,45792.5389,33027.7828,41729.1532,27273.1145,48443.6964,33816.4188,46903.2915,33368.238,0.297390549,189965,3450754,3356,269396,201760,391872,14783,23071,80339,233041,102209,48550,37623,9906,58832,14595,319294,1729,21103,4,144663,3124153,3268816,20994,43583,5250,4332191,16503.5991,165483.3333,9840.666667,116084,5266,0.036998182,0,0.045925485,3618,1.9
6/20/20,202025,X,US,-100,4,416,-196,-203,59,920.96,46033.1724,37060.727,44193.8265,27749.2946,46851.6753,31641.9146,51873.3967,36533.0624,57331.9243,42998.7404,44633.5546,28768.8888,47849.6633,32362.1095,53099.2086,37241.2619,54436.3488,39516.4014,48778.482,34533.2895,44227.6934,28082.0924,51041.9836,34905.641,49630.3341,34674.6886,0.215160842,181055,3490955,3332,258357,196568,379075,13847,22556,78635,226858,99906,48970,40037,10056,57261,13899,379850,1552,20431,4,177758,3339492,3517250,17872,38670,4218,4766419,16159.2004,162758,8263,120349,4265,0.019656486,0,0.024824058,3623,2.3
