date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,hospitalization,n_visits,D57,E11,E78,I10,I21,I51,J45,R06,R10,R11,R51,R52,R91,R93,Z20,Z21,Z85,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220556,3547602,3867,247911,147582,352314,17023,25464,103960,271343,96163,73054,42143,15421,70232,12300,18580,1487,15781,,0,0,0,0,0,0,0,0,178857.3333,2058.666667,0,0,0,0,0,3468,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241913,4222756,4436,313891,222332,461744,18192,30205,126716,318129,120475,79921,51400,16381,79895,16250,20268,2050,24010,,0,0,0,0,0,0,0,0,180487,2251.333333,0,0,0,0,0,3473,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237207,4199287,4473,311185,220644,457168,18063,29683,123796,307284,122782,80836,52306,16277,77611,16477,22343,2063,23970,,0,0,0,0,0,0,0,0,176282,288,0,0,0,0,0,3472,1.9
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,232205,4140128,4349,299085,209042,439210,18040,28458,122800,296853,119103,78570,52123,16458,76143,15795,24354,1917,22369,,0,0,0,0,0,0,0,0,175279,134,0,0,0,0,0,3489,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,236369,4360197,4538,310086,216137,455786,18371,29266,130317,308095,124188,85364,57985,18700,77746,16546,30596,2060,23080,,2,0,2,0,0,0,0,0,174701,212,0,0,0,0,0,3506,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,237091,4445947,4649,322397,219958,467958,19737,29757,133720,311842,122340,85483,57082,19507,78872,16554,31949,1989,22860,,9,0,9,0,0,0,0,0,176729.6667,624.3333333,0,0,0,0,0,3506,2.3
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,238642,4303960,4467,310176,217594,459250,18557,29707,128609,309650,120396,81448,54263,18191,78908,16993,28617,1986,23061,,15,0,15,0,0,0,0,0,174600,513,0,0,0,0,0,3527,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,235140,4175424,4329,304505,209728,446543,18720,29371,123987,300681,117748,78110,51840,17168,76799,16065,25566,1835,22066,,78,0,78,0,0,0,0,0,174931.6667,680.6666667,0,0,0,0,0,3527,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,234922,4201966,4301,308973,214504,456919,19037,29425,125497,304631,120263,77541,51561,16942,78362,16925,23537,1976,22728,,193,17,210,0,0,5,0,0,175528,1423.333333,1,1,0,0,0,3530,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068340395,235180,4364225,4285,332845,226002,480552,20422,30674,133104,315049,120055,79002,51666,17137,79682,16767,23215,1977,23118,0.1,972,2850,3822,0,0,22,0,2,175589.6667,2157.666667,17,16,0,0,0,3548,2.2
