date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,179097,1819.666667,0,0,0,0,0,3542,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,180787,2391,0,0,0,0,0,3545,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,176721,343.3333333,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42168.8811,39820.5172,44491.4437,42151.3865,51775.7008,49155.2041,67888.5311,64821.3309,38472.587,36467.4555,44194.7482,41876.5022,53460.8782,50874.5149,71131.6033,67913.5631,60513.9499,57668.5895,49450.5536,46845.982,53115.4582,50473.6479,51345.4297,48722.3074,0,0,0,,2,0,2,0,0,0,0,0,176026,213,0,0,0,0,0,3571,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48916.6961,46748.8239,51060.9189,48667.6253,59130.948,56245.6011,76406.1925,72942.0507,44629.8907,42760.9394,50626.0426,48272.3312,61074.5766,58270.4619,79765.5304,76076.3712,68947.8104,66073.4412,56833.3842,54407.7664,60947.4195,58392.2855,58003.6656,55153.9292,0,0,0,,0,0,6,0,0,0,0,0,175018,230,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49772.4928,48608.7501,51488.6952,50163.1408,58916.1214,57297.45,75878.5747,74045.6353,45387.5256,44317.968,50943.431,49660.0143,60990.2961,59460.3547,79663.3163,77771.5375,68859.6157,67497.6375,57830.9585,56597.2751,61169.9402,59863.833,58070.7576,56471.0849,0,0,0,,3,0,10,0,0,0,0,0,176727.6667,714,0,0,0,0,0,3585,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53369.0886,51119.535,56200.6424,53914.1279,65312.976,62718.4838,86569.6402,84177.241,48989.9275,46898.4855,55803.9149,53580.7737,67528.6805,65091.4974,90038.2018,87514.0705,77317.2796,75194.0598,62724.8809,60288.3927,67307.8735,64852.1887,64780.4679,62310.4982,0,0,0,,2,0,8,0,0,0,0,0,174986,523.6666667,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54050.2787,50736.3683,56654.6382,53766.1181,65964.0886,62971.9446,89138.1582,86891.7899,48847.3103,45904.9131,56242.8105,53394.8898,68461.2396,65609.6004,93694.0427,91287.8114,79582.307,77081.4397,63809.7613,60206.3718,68387.6514,64958.4963,66081.2367,63248.2806,0,0,6.542166732,,0,0,12,0,0,0,0,0,175260,745.6666667,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58362.4289,55031.9089,59990.7589,57294.5555,68186.3162,65493.4697,87588.3098,85171.4332,53243.7679,50292.0864,59280.2193,56611.555,70567.0502,67936.7131,91252.3227,88576.2407,79550.9589,77089.7251,66909.7597,63386.3612,71087.8395,67788.8613,67342.2083,64750.7835,0,0,5.505270381,,11,0,6514,0,0,5,0,0,176465,2491,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57877.4649,53985.4801,58864.7073,55676.6383,66667.6073,63530.9954,84782.0332,81755.9821,52599.036,49098.5579,58314.6356,55199.525,69094.6626,66002.7184,87893.5237,84506.8826,76957.0648,73935.8126,65397.0838,61246.7019,69578.4664,65761.4848,65811.1074,62736.5523,0,0,5.068340395,0.1,556,1362,6459,0,0,22,0,2,177531,3910.666667,17,16,0,0,0,3621,2.2
