date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence
2020-03-07,202010,X,US,62.0,49.0,127.0,25.0,21.0,-7.0,5.068948978205464,0.8703257502268672,0.8693681795040176,0.1,520.0,3192.0,3712.0,0.0,0.0,22.0,0.0,0.0,228031.0,6096.0,17.0,16.0
2020-03-14,202011,X,US,32.0,97.0,141.0,-27.0,-12.0,7.0,5.109318654435426,0.8453077572988703,0.8320654620044419,0.6,3203.0,24317.0,27520.0,0.0,0.0,36.0,0.0,0.0,221834.0,3378.0,56.0,39.0
2020-03-21,202012,X,US,-159.0,65.0,15.0,-200.0,-178.0,78.0,4.897412337717675,0.8345745845980536,0.7008721380663917,2.9,23626.0,150268.0,173894.0,0.0,0.0,243.0,0.0,1964.0,222491.0,4931.0,451.0,397.0
2020-03-28,202013,X,US,-291.0,-99.0,-81.0,-330.0,-290.0,122.0,2.8736954197985893,0.8594830553556341,0.5680806321894207,7.4,97448.0,464289.0,561737.0,1139.0,5265.0,1732.0,5804.0,11758.0,225007.0,13145.0,2879.0,2433.0
2020-04-04,202014,X,US,-294.0,-105.0,-111.0,-350.0,-321.0,129.0,1.5443360896660756,0.9642175423224958,0.5317872927565318,9.1,183937.0,720021.0,903958.0,3793.0,27571.0,6449.0,53625.0,24247.0,237455.0,27269.0,10805.0,7948.0
2020-04-11,202015,X,US,-306.0,-98.0,-96.0,-365.0,-338.0,135.0,0.9171681790598948,0.9830866476828236,0.4743405470415926,8.8,215141.0,815757.0,1030898.0,29529.0,70659.0,12199.0,155995.0,20967.0,248008.0,39115.0,24281.0,13508.0
2020-04-18,202016,X,US,-310.0,-135.0,-154.0,-358.0,-325.0,131.0,0.5684448566923281,0.9031041712300903,0.42958259855824216,9.5,200154.0,823282.0,1023436.0,41926.0,100809.0,13955.0,317380.0,21964.0,240664.0,35746.0,39674.0,15411.0
2020-04-25,202017,X,US,-281.0,-104.0,-60.0,-338.0,-312.0,124.0,0.4750530161826886,0.7471602465813436,0.410130673140066,8.7,209263.0,1263258.0,1472521.0,38075.0,105069.0,13428.0,613274.0,18199.0,220023.0,24573.0,53646.0,14002.0
2020-05-02,202018,X,US,-245.0,-70.0,12.0,-312.0,-298.0,107.0,0.3223901566448779,0.5001408142191068,0.3328756207158615,7.9,192409.0,1415115.0,1607524.0,33808.0,71683.0,12641.0,1017337.0,24761.0,176537.0,10699.0,66244.0,12614.0
2020-05-09,202019,X,US,-211.0,-25.0,66.0,-290.0,-277.0,102.0,0.0,0.1201771129955878,0.05753012270436586,5.5,175376.0,1705883.0,1881259.0,39589.0,72799.0,12581.0,1350209.0,19902.0,,,78656.0,12426.0
