date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179156,260,0,0,0,0,0,3544,2.4,0,0,0,0
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180805,554.6666667,0,0,0,0,0,3548,1.9,0,0,0,0
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176716,132.6666667,0,0,0,0,0,3546,1.8,0,0,0,0
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42162.2908,39787.0842,44485.3756,42125.706,51758.4439,49120.1146,67868.055,64788.9116,38463.2226,36433.9287,44181.707,41845.5303,53444.4432,50838.3401,71108.4443,67875.7296,60499.4659,57628.078,49454.2426,46814.0196,53104.857,50435.2775,51325.2355,48684.3997,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176033,57,0,0,0,0,0,3572,2,2,2,0,0
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48913.8416,46722.7525,51054.0652,48645.0772,59116.7884,56217.5401,76377.6083,72903.6364,44621.076,42732.1701,50611.2708,48242.7676,61064.9725,58245.7793,79737.2248,76035.2671,68932.383,66035.1565,56836.5149,54379.8993,60933.2532,58355.9616,57984.6457,55120.027,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175046,79,0,0,0,0,0,3572,2.3,8,6,0,0
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49762.1612,48591.5089,51474.5397,50145.1049,58891.5869,57273.9161,75849.1505,74018.7665,45368.5954,44293.0832,50923.3016,49637.1798,60969.1048,59436.5929,79628.6832,77737.9437,68837.3648,67467.0342,57822.886,56578.3606,61155.094,59844.8687,58042.8569,56440.1879,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176959.3333,377.6666667,0,0,0,0,0,3586,2.2,12,4,0,0
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53347.9636,51077.0046,56174.1794,53874.3783,65278.8604,62676.4967,86527.9442,84126.916,48966.4351,46860.4306,55780.5625,53543.1903,67498.4498,65046.7439,89985.7392,87452.5195,77279.5546,75132.5288,62700.39,60234.1355,67278.6863,64803.6634,64743.4099,62260.6611,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,175018,266,0,0,0,0,0,3599,2.1,14,2,0,0
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54032.5431,50656.8181,56627.5475,53694.8953,65938.9313,62907.8889,89098.9625,86815.1663,48826.7766,45836.1016,56221.0005,53330.6416,68432.6977,65533.4619,93652.4454,91205.8232,79555.3945,76991.9069,63791.2591,60107.1293,68366.9827,64871.881,66047.7131,63174.0946,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175311,433.3333333,0,0,0,0,0,3594,1.9,16,2,0,0
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58336.9603,54948.7325,59963.9734,57225.1241,68159.2088,65431.1532,87554.5394,85105.1899,53216.9946,50220.0778,59256.686,56546.9518,70536.5735,67862.538,91217.5887,88507.5026,79524.6061,77008.664,66896.8005,63296.5425,71058.6983,67697.9572,67309.2537,64681.4865,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176576,873.3333333,1,1,0,0,0,3610,1.8,25,9,0,0
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57854.6637,53908.8152,58838.5311,55612.957,66638.7192,63473.3437,84744.8166,81688.6936,52578.5247,49035.9838,58287.4956,55136.2751,69067.7883,65938.5451,87844.8595,84428.1811,76926.3031,73856.3782,65378.9659,61159.0596,69560.6431,65687.8085,65775.9664,62669.2223,0,0,0,0,0,0,0,5.068340395,0.1,556,1148,6091,0,0,22,0,6,177654,2471.333333,17,16,0,0,0,3622,2.2,404,379,6368,19648
