date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,179142,1851.666667,0,0,0,0,0,3541,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,180783,2393.333333,0,0,0,0,0,3545,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,176716,339,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42168.156,39821.7467,44492.8087,42154.5303,51777.8108,49158.0988,67892.1888,64825.9539,38473.0992,36469.9248,44195.9035,41879.2098,53463.9484,50878.6872,71136.67,67919.7959,60512.8237,57668.9003,49449.9226,46846.9038,53117.1704,50477.1923,51348.8484,48726.5484,0,0,0,,2,0,2,0,0,0,0,0,176029,212.3333333,0,0,0,0,0,3571,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48914.7235,46748.6479,51063.2267,48671.969,59133.4142,56248.5349,76411.4221,72948.9177,44631.8618,42764.5904,50626.5539,48274.6272,61077.6223,58274.391,79772.4444,76084.2877,68950.5962,66077.366,56833.4802,54408.7753,60949.9825,58396.3537,58007.4174,55158.8478,0,0,0,,0,0,6,0,0,0,0,0,175020,230,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49771.2033,48608.0771,51489.7153,50165.3997,58913.5266,57296.624,75882.0125,74050.1578,45388.5927,44320.3159,50945.4405,49662.6172,60988.1353,59459.6162,79667.1021,77775.7597,68859.8295,67498.2318,57831.3599,56597.8218,61169.8666,59864.1648,58073.9579,56474.7341,0,0,0,,3,0,10,0,0,0,0,0,176709.6667,712,0,0,0,0,0,3584,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53367.1399,51118.2363,56203.6399,53917.0681,65316.1012,62721.0188,86577.4782,84185.437,48990.4649,46900.3344,55806.4182,53583.5801,67532.5744,65094.1721,90047.4378,87523.1744,77320.5734,75197.253,62724.8747,60288.1876,67311.1699,64855.6794,64785.6091,62315.1099,0,0,0,,2,0,8,0,0,0,0,0,174975,521.6666667,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54049.3997,50736.2864,56656.729,53768.817,65969.994,62977.0069,89143.2187,86897.2093,48851.345,45910.1664,56245.1643,53397.7523,68465.0535,65612.9653,93702.4322,91295.3438,79583.3156,77082.2257,63810.4798,60207.0789,68389.7122,64960.9508,66086.4851,63253.2252,0,0,6.542166732,,0,0,12,0,0,0,0,0,175287,745.6666667,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58361.2454,55031.1387,59993.4804,57298.3638,68189.3447,65495.2192,87595.585,85178.7821,53246.6617,50295.9908,59281.631,56613.7605,70572.0367,67939.5164,91260.709,88584.0801,79552.6726,77091.861,66911.6206,63387.827,71087.0892,67787.9455,67347.7077,64755.7249,0,0,5.505270381,,11,24,6514,0,0,5,0,0,176463,2495.666667,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57878.0135,53985.709,58868.1379,55680.4189,66674.1075,63536.5128,84786.8914,81759.9433,52602.6889,49102.4206,58317.607,55202.9371,69101.5877,66007.9623,87901.6281,84513.1514,76961.4181,73938.7919,65400.3878,61249.1752,69579.3135,65762.1838,65818.1344,62742.0414,0,0,5.068340395,0.1,556,5650,6459,0,0,22,0,2,177528.3333,3907.333333,17,16,0,0,0,3621,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,,42766.5493,38533.297,39017.5802,34762.5049,40184.3302,36309.4791,45815.7889,41603.7592,57860.0432,53310.8566,35735.8864,31906.8853,40037.7413,36203.0442,47423.0877,43183.731,59150.9473,54126.5792,51406.9272,47209.7576,43789.2094,39204.4934,47321.7877,42752.5938,45044.0332,40929.9755,0,0,5.10483724,0.7,3805,28032,38441,0,0,37,0,21,174483.6667,2298.333333,58,41,0,0,0,3625,3.4
