date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,hospitalization,n_visits,D57,E11,E78,I10,I21,I51,J45,R06,R10,R11,R51,R52,R91,R93,Z20,Z21,Z85,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94292176,0.854237719,0.877467665,0.813138983,0.717313852,0.79429012,0.865825746,0.860561,0.80582449,0.861231019,0.831317594,0.888929449,0.764605559,0.821445693,0.899579875,0.762223462,0.062791712,0.780577428,0.719279854,,0,0,0,0,0,0,0,0,178840.3333,2040,0,0,0,0,0,3466,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034227278,1.016818049,1.00658044,1.029552708,1.08064179,1.041005801,0.925283556,1.020784049,0.982218019,1.009731603,1.041496287,0.972487893,0.932560418,0.872582965,1.023350241,1.007002541,0.068496669,1.076115486,1.094348222,,0,0,0,0,0,0,0,0,180472,2239.666667,0,0,0,0,0,3470,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014108171,1.011166601,1.014976174,1.020677055,1.072437141,1.030688969,0.918722344,1.003142954,0.959583588,0.975309151,1.06144044,0.983621718,0.948998476,0.867043094,0.994095194,1.021069592,0.075509576,1.082939633,1.092525068,,0,0,0,0,0,0,0,0,176277,293,0,0,0,0,0,3467,1.9
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,0.992723604,0.996920829,0.98683912,0.980989179,1.016044756,0.990201715,0.917552515,0.961743832,0.951863077,0.942200752,1.029635265,0.95604877,0.945678206,0.8766846,0.975292038,0.97880647,0.082306182,1.006299213,1.019553327,,0,0,0,0,0,0,0,0,175853.3333,188.6666667,0,0,0,0,0,3485,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,1.010525551,1.049914502,1.029725437,1.017072347,1.050530532,1.027573177,0.934387874,0.989050355,1.010131233,0.977883297,1.073595394,1.038718941,1.052035707,0.996111437,0.995824367,1.025345479,0.103402358,1.081364829,1.051959891,,2,0,2,0,0,0,0,0,174562.3333,212,0,0,0,0,0,3504,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,1.013612248,1.070563515,1.054912639,1.057452301,1.069102787,1.05501559,1.003865521,1.005643799,1.036509647,0.989776421,1.057619323,1.040166947,1.035652079,1.039098706,1.010246952,1.025841234,0.107975112,1.044094488,1.041932543,,9,0,9,0,0,0,0,0,176603.6667,632.6666667,0,0,0,0,0,3500,2.3
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,1.020243088,1.036372362,1.013614704,1.017367546,1.057612389,1.035382947,0.943848227,1.003954039,0.996891642,0.982818927,1.040813327,0.991068604,0.984505407,0.968998029,1.010708064,1.053045795,0.096713904,1.042519685,1.051093892,,15,0,15,0,0,0,0,0,174360.3333,504.3333333,0,0,0,0,0,3524,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,1.005271326,1.005420275,0.982300885,0.998766724,1.01937911,1.006734348,0.952138752,0.992598851,0.961064128,0.954350973,1.017921209,0.950451437,0.940543581,0.914504874,0.983694538,0.995538204,0.086402396,0.963254593,1.005742935,,78,0,78,0,0,0,0,0,174541,672.3333333,0,0,0,0,0,3524,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,1.004339331,1.011811717,0.975947356,1.013421718,1.042593214,1.030127585,0.968262042,0.994423792,0.97276892,0.966888426,1.039663534,0.94352778,0.93548153,0.902466308,1.00371452,1.048831877,0.079544955,1.037270341,1.035916135,,193,17,210,0,0,5,0,0,175053,1194.333333,1,1,0,0,0,3527,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068340395,1.005442334,1.050884464,0.972316769,1.091721634,1.098480098,1.083409424,1.038706068,1.036633998,1.031734712,0.999955563,1.037865362,0.961305395,0.937386603,0.912853566,1.02062199,1.039040714,0.078456687,1.037795276,1.053691887,0.1,972,2850,3822,0,0,22,0,2,175372,2000,17,16,0,0,0,3543,2.2
