date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179013,2174,0,0,0,0,0,3518,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180670,2378,0,0,0,0,0,3522,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176545,298.3333333,0,0,0,0,0,3516,1.8
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,,0,0,1,0,0,0,0,0,175655,146,0,0,0,0,0,3544,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,,0,0,2,0,0,0,0,0,174756,160.3333333,0,0,0,0,0,3550,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,,0,0,7,0,0,0,0,0,176623.3333,551.6666667,0,0,0,0,0,3561,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,,0,0,2,0,0,0,0,0,174884,451.6666667,0,0,0,0,0,3575,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,,0,0,1,0,0,0,0,0,175126,586.3333333,0,0,0,0,0,3574,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,,18,24,6498,0,0,5,0,0,176346,1737.333333,1,1,0,0,0,3583,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068340395,0.1,660,3309,4132,0,0,22,0,2,177463,3319,17,16,0,0,0,3593,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,42766.5493,38533.297,39680.849,35099.3339,40981.7743,36810.6288,46862.0824,42356.6412,59274.1306,54469.1269,36388.0213,32267.28,40917.8924,36797.2445,48550.5352,44012.8148,60622.9677,55274.6516,51189.5279,46851.4266,42961.2994,38236.9056,47762.1929,42910.9938,46268.5847,41844.4673,5.10483724,0.7,4053,24775,31884,0,0,37,0,20,174375.6667,1716.333333,58,41,0,0,0,3601,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,28802.1464,25742.9452,27900.346,24437.1387,29051.8411,26064.7574,31958.0194,28853.9531,34213.6159,30970.4982,27558.6042,24382.647,29460.4604,26471.6825,32593.2533,29406.6999,32713.1518,29251.4305,30649.8574,27546.608,28701.7879,25121.5379,32237.5127,28664.4671,29919.184,26973.5326,4.891688871,3,26307,151610,201686,0,0,270,0,1994,175237.3333,3514.666667,464,406,0,0,0,3597,5.9
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,18950.1368,16558.7482,18788.9965,15984.8744,19455.2604,16996.7058,21064.3317,18533.7201,20849.2272,18337.7681,19211.831,16541.2858,19959.9344,17445.9644,21224.1568,18625.7318,19259.8847,16790.5443,18706.4044,16262.5901,18426.7162,15590.7494,21306.9453,18388.1309,19445.8697,17083.5545,2.880773413,7.7,101014,470807,576620,1139,5265,1985,5804,14244,182935.3333,12456,2886,2422,0,0,0,3615,6.7
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,17988.7555,15381.7373,18090.0483,15023.8402,18525.5421,15874.6144,19832.0669,17181.4995,19339.0679,16856.8068,18500.265,15608.2087,19004.622,16301.6737,20019.8065,17283.343,17840.4326,15373.6112,17554.3662,15021.2204,17875.9845,14769.7516,20149.0005,17043.0805,18277.0216,15831.3056,1.546892241,9.5,185382,722101,918768,3793,27908,6945,47821,30564.5,201080.3333,32100.66667,10843,7957,0,0,0,3616,6.8
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,17456.4964,14593.6271,17255.5851,13864.7375,17946.3831,14999.5927,19397.305,16499.8827,19226.2503,16493.0957,17841.3311,14626.4805,18448.1348,15446.964,19595.117,16575.3195,17605.3646,14905.6229,16918.3159,14175.0747,16949.0698,13587.2261,19380.8779,15978.6313,17945.4372,15224.5727,0.921628993,9.3,215448,825842,1052745,29529,71633,12897,102370,45540.25,214233.6667,46778.66667,25488,14645,0.058121134,0.373985197,0.061333607,3609,6
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,15019.5666,11000.6536,15363.9486,10737.9969,15911.6995,11591.4865,16966.6787,12629.3375,16335.2526,12448.6037,15986.8696,11399.4282,16388.6742,11942.142,17011.9367,12602.8562,14945.5386,11230.5057,14732.1931,10907.5182,14844.0392,10383.2332,17008.8854,12268.7531,15749.2851,11693.4431,0.566402947,10,199914,832755,1065018,41926,100714,14438,161385,37387.375,208112.6667,42506.33333,40530,15042,0.022328184,2.490342381,0.023743542,3609,4.9
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,20754.789,16469.9714,20657.9191,15309.1479,21607.2196,16770.8668,23177.3683,18340.7249,22566.4154,18122.3298,21486.2316,16275.7594,22201.0355,17249.8067,23293.9243,18344.8364,20639.64,16327.9508,19883.9266,15547.5625,19735.7805,14632.911,23005.9236,17638.9772,21579.621,17008.2477,0.487900747,9.7,210542,1274125,1520506,38075,102566,13569,295894,32629.8125,203184.3333,39368,55953,15423,0.020058765,2.486751767,0.022327667,3597,4.2
